date,Open,High,Low,Close,Volume,aVWAP_peak_170,aVWAP_peak_152,aVWAP_peak_138,aVWAP_peak_137,aVWAP_peak_117,aVWAP_peak_99,aVWAP_valley_192,aVWAP_valley_176,aVWAP_valley_175,aVWAP_valley_112,aVWAP_valley_107,aVWAP_valley_38,aVWAP_valley_37,aVWAP_valley_20,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,56.45,56.45,56.45,56.45,5.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,56.45,56.45,56.45,56.45,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,56.45,56.715,56.45,56.715,6.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,56.715,56.715,56.715,56.715,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,56.715,56.715,56.715,56.715,0.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,56.44,56.44,56.435,56.435,104.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,56.63,56.65,56.595,56.595,500.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,56.575,56.7,56.575,56.7,17.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,56.7,56.71,56.7,56.71,1.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,56.71,56.71,56.66,56.66,108.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,56.66,56.66,56.59,56.6,6.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,56.6,56.6,56.44,56.44,7.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,56.44,56.45,56.435,56.435,197.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,56.39,56.395,56.39,56.395,101.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,56.395,56.395,56.13,56.13,7.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,56.13,56.13,56.01,56.01,24.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,56.01,56.01,55.93,55.93,48.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,55.84,55.93,55.74,55.74,164.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,55.74,55.82,55.715,55.74,214.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,55.74,55.74,55.735,55.735,109.0,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,55.73,55.73,55.55,55.55,442.0,,,,,,,,,,,,,,55.60999999999999,,55.60999999999999,#000000
2025-07-09 15:15:00+00:00,55.62,55.695,55.62,55.62,272.0,,,,,,,,,,,,,,55.62333333333333,,55.62333333333333,#000000
2025-07-09 15:20:00+00:00,55.62,55.68,55.61,55.61,104.0,,,,,,,,,,,,,,55.624604726976365,,55.624604726976365,#000000
