date,Open,High,Low,Close,Volume,aVWAP_peak_875,aVWAP_peak_874,aVWAP_peak_807,aVWAP_peak_756,aVWAP_peak_731,aVWAP_peak_711,aVWAP_peak_687,aVWAP_peak_661,aVWAP_peak_644,aVWAP_valley_866,aVWAP_valley_865,aVWAP_valley_846,aVWAP_valley_791,aVWAP_valley_775,aVWAP_valley_770,aVWAP_valley_744,aVWAP_valley_724,aVWAP_valley_721,aVWAP_valley_667,aVWAP_valley_650,aVWAP_valley_592,aVWAP_valley_548,aVWAP_valley_529,aVWAP_valley_510,aVWAP_valley_481,aVWAP_valley_433,aVWAP_valley_384,aVWAP_valley_325,aVWAP_valley_324,aVWAP_OB_bull_744,aVWAP_OB_bull_548,aVWAP_OB_bull_433,aVWAP_OB_bear_807,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-23 15:00:00+00:00,15.255,15.27,15.185,15.205,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-01-23 16:00:00+00:00,15.205,15.24,14.945,15.015,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-420.0,-6.511627906976744,False,False,False,False,6.511627906976744,False,False,False,False
2025-01-23 17:00:00+00:00,15.045,15.115,14.995,15.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.263657957244622,-63.89548693586693,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-420.0,-12.922300342527492,False,False,False,False,6.410672435550748,False,False,False,False
2025-01-23 18:00:00+00:00,15.08,15.095,14.975,15.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,12.98353980915732,-59.621227473421044,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-420.0,-19.233582507759625,False,False,False,False,6.311282165232132,False,False,False,False
2025-01-23 19:00:00+00:00,15.005,15.025,14.945,14.965,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.52918718200846,-56.97115247581064,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-420.0,-25.447015337096687,False,False,False,False,6.21343282933706,False,False,False,False
2025-01-23 20:00:00+00:00,14.965,14.975,14.905,14.92,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.690422850494176,-55.2591931080148,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1450.0,-47.53310812256805,False,False,False,False,22.08609278547137,False,False,False,False
2025-01-24 15:00:00+00:00,14.95,15.005,14.905,14.925,1120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.312433756755183,-52.90893548648106,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-330.0,-51.9124397795825,False,False,False,False,39.10801382755709,False,False,False,False
2025-01-24 16:00:00+00:00,14.925,15.005,14.895,14.905,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.310132254528508,-51.076534471426406,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-930.0,-65.52620040315486,False,False,False,False,47.80401361317636,False,False,False,False
2025-01-24 17:00:00+00:00,14.895,14.96,14.885,14.945,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,19.410592845420528,-45.556443659525335,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-230.0,-68.07618179225324,False,False,False,False,57.915579293592224,False,False,False,False
2025-01-24 18:00:00+00:00,14.945,15.03,14.925,15.025,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.089163365147556,-36.23848539012739,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,171.0,-64.3695743226059,False,False,False,False,63.23471759911792,False,False,False,False
2025-01-24 19:00:00+00:00,15.025,15.035,14.975,15.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,32.6673355907473,-31.13581627708723,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-51.0,-64.16229410055,False,False,False,False,65.69619484564322,False,False,False,False
2025-01-24 20:00:00+00:00,15.0,15.02,14.985,14.99,1450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,35.23668874536561,-27.935594355255503,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1501.0,-86.43884768038643,False,False,False,False,87.15826934416039,False,False,False,False
