date,Close,High,Low,Open,Volume,aVWAP_peak_202,aVWAP_peak_190,aVWAP_peak_169,aVWAP_peak_167,aVWAP_peak_129,aVWAP_peak_109,aVWAP_peak_96,aVWAP_peak_60,aVWAP_peak_30,aVWAP_peak_19,aVWAP_valley_181,aVWAP_valley_158,aVWAP_valley_119,aVWAP_valley_86,aVWAP_valley_54,aVWAP_valley_40,aVWAP_valley_24,aVWAP_OB_bull_192,aVWAP_OB_bear_129,aVWAP_OB_bear_109,aVWAP_OB_bear_60,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2024-09-10 00:00:00+00:00,2.305,2.32,2.2805,2.2963,1604,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-11 00:00:00+00:00,2.35,2.35,2.28,2.28,6407,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-12 00:00:00+00:00,2.44,2.49,2.35,2.35,4089,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-13 00:00:00+00:00,2.41,2.49,2.36,2.4484,13832,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-16 00:00:00+00:00,2.38,2.435,2.28,2.435,9769,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-17 00:00:00+00:00,2.476,2.476,2.2801,2.32,11157,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-18 00:00:00+00:00,2.46,2.46,2.3602,2.42,6841,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-19 00:00:00+00:00,2.485,2.51,2.45,2.45,11307,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-20 00:00:00+00:00,2.455,2.53,2.442,2.5,4540,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-23 00:00:00+00:00,2.48,2.5,2.48,2.48,2953,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-24 00:00:00+00:00,2.54,2.58,2.52,2.58,7375,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-25 00:00:00+00:00,2.55,2.58,2.55,2.55,7247,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-26 00:00:00+00:00,2.62,2.62,2.57,2.57,5460,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-27 00:00:00+00:00,2.87,2.87,2.61,2.62,27965,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-09-30 00:00:00+00:00,2.895,2.96,2.8902,2.9,20155,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-01 00:00:00+00:00,2.93,2.99,2.8701,2.9,33131,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-02 00:00:00+00:00,3.0999,3.1,2.92,3.0,32511,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-03 00:00:00+00:00,3.0,3.16,2.9202,3.16,15370,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-04 00:00:00+00:00,3.14,3.2,2.9671,3.03,25594,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-07 00:00:00+00:00,3.25,3.3,3.11,3.1731,26619,,,,,,,,,,3.22,,,,,,,,,,,,3.22,3.22,,#000000,,3.22,
2024-10-08 00:00:00+00:00,3.02,3.08,2.85,2.98,33691,,,,,,,,,,3.0877908030730117,,,,,,,,,,,,3.0877908030730117,3.0877908030730117,,#000000,,3.0877908030730117,
2024-10-09 00:00:00+00:00,2.99,2.9937,2.85,2.9886,7160,,,,,,,,,,3.072591680252952,,,,,,,,,,,,3.072591680252952,3.072591680252952,,#000000,,3.072591680252952,
2024-10-10 00:00:00+00:00,2.9501,3.02,2.83,2.83,8470,,,,,,,,,,3.0570631595118956,,,,,,,,,,,,3.0570631595118956,3.0570631595118956,,#000000,,3.0570631595118956,
2024-10-11 00:00:00+00:00,2.81,3.0,2.81,2.99,25622,,,,,,,,,,3.010711909966326,,,,,,,,,,,,3.010711909966326,3.010711909966326,,#000000,,3.010711909966326,
2024-10-14 00:00:00+00:00,3.0,3.033,2.79,2.79,15542,,,,,,,,,,3.0014597708020223,,,,,,,2.9410000000000003,,,,,2.9712298854010113,3.0014597708020223,2.9410000000000003,#000000,,2.9712298854010113,
2024-10-15 00:00:00+00:00,2.99,3.03,2.91,3.03,10492,,,,,,,,,,2.9994210764182783,,,,,,,2.955374074927659,,,,,2.9773975756729687,2.9994210764182783,2.955374074927659,#000000,,2.9773975756729687,
