date,Close,High,Low,Open,Volume,aVWAP_peak_145,aVWAP_peak_103,aVWAP_peak_84,aVWAP_peak_59,aVWAP_peak_31,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_156,aVWAP_valley_112,aVWAP_valley_71,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,2.0636615548,2.0829481113,1.9382989369,1.9382989369,85855,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,2.0356960477,2.1408077811,1.9575854935,2.1215212245,96052,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,2.0347317199,2.0568148272,1.9382989369,2.0202668024,38268,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,1.9489065431,2.0829481113,1.9479422152,2.0347317199,52807,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,1.8997258238,1.9575854935,1.8707959889,1.9190123804,102817,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,1.841866154,1.9672287718,1.7550766494,1.9190123804,259533,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,1.7454333711,1.9382989369,1.7357900928,1.8415864989,170978,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,1.7454333711,1.8032930408,1.7261468145,1.7437940138,72580,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,1.6782197214,1.7357900928,1.5525678052,1.7357900928,140577,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,1.6007841967,1.677930423,1.5911409184,1.677930423,60545,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,1.5429245269,1.5971197509,1.5236379703,1.5332812486,75716,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,1.6779864886,1.6876858325,1.5236379703,1.5429245269,30175,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,1.7846792711,1.9786661484,1.6779864886,1.6779864886,154338,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,1.8234766466,1.9231762022,1.7749799272,1.8198878893,41884,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,1.8913720536,1.9398687729,1.794378615,1.8525746782,107105,,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,1.8816727098,1.9156204133,1.7749799272,1.8913720536,22962,,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,1.7507315676,1.9204700852,1.7264832079,1.8962217256,171760,,,,,,,,,,,,,#000000
