date,Open,High,Low,Close,Volume,aVWAP_peak_616,aVWAP_peak_601,aVWAP_peak_582,aVWAP_peak_568,aVWAP_peak_545,aVWAP_peak_475,aVWAP_peak_459,aVWAP_peak_445,aVWAP_peak_409,aVWAP_peak_365,aVWAP_peak_342,aVWAP_peak_323,aVWAP_peak_305,aVWAP_peak_276,aVWAP_peak_250,aVWAP_peak_231,aVWAP_peak_206,aVWAP_valley_612,aVWAP_valley_595,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,110.2,111.34,109.845,110.38,6784.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,6784.0,False,False,False,False
2023-10-31 16:00:00+00:00,110.67,111.24,110.585,110.75,12306.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,12306.0,190.7906976744186,False,False,False,False,6869.612403100776,False,False,False,False
2023-11-01 16:00:00+00:00,111.92,112.17,111.58,111.69,9576.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,21882.0,527.0885163151253,False,False,False,False,6911.57190072712,False,False,False,False
2023-11-02 16:00:00+00:00,112.52,113.07,112.31,112.6,18393.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,40275.0,1143.3352059846584,False,False,False,False,7089.578537925149,False,False,False,False
2023-11-03 16:00:00+00:00,114.645,114.95,113.58,114.03,10542.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,50817.0,1913.469543876369,False,False,False,False,7143.104452065844,False,False,False,False
2023-11-06 16:00:00+00:00,112.83,113.31,112.02,112.65,3024.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,47793.0,2624.780093583712,False,False,False,False,7079.242367537691,False,False,False,False
2023-11-06 20:00:00+00:00,112.65,112.99,112.5,112.99,2783.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,50576.0,3368.2098595746625,False,False,False,False,7012.6339587386565,False,False,False,False
2023-11-07 16:00:00+00:00,112.67,112.95,112.15,112.68,3131.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,47445.0,4051.5709470231172,False,False,False,False,6952.453587285344,False,False,False,False
2023-11-07 20:00:00+00:00,112.68,113.25,112.6,112.76,3523.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,50968.0,4778.957443968495,False,False,False,False,6899.283764226656,False,False,False,False
2023-11-08 16:00:00+00:00,112.4,112.55,111.28,111.84,3498.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,47470.0,5440.834072744177,False,False,False,False,6846.550682610739,False,False,False,False
