date,Open,High,Low,Close,Volume,aVWAP_peak_212,aVWAP_peak_179,aVWAP_valley_207,aVWAP_valley_206,aVWAP_valley_187,aVWAP_valley_153,aVWAP_valley_138,aVWAP_valley_116,aVWAP_valley_92,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,12.365,12.425,12.28,12.37,1600.0,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,12.365,12.365,12.26,12.285,909.0,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,12.28,12.395,12.27,12.39,900.0,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,12.38,12.39,12.31,12.33,1286.0,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,12.33,12.36,12.32,12.34,802.0,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,12.335,12.37,12.305,12.31,2259.0,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,12.31,12.33,12.255,12.295,2776.0,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,12.295,12.32,12.28,12.295,1811.0,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,12.295,12.31,12.275,12.295,2562.0,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,12.295,12.335,12.275,12.285,1212.0,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,12.285,12.3,12.26,12.275,1658.0,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,12.275,12.29,12.18,12.215,4355.0,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,12.21,12.28,12.195,12.275,1320.0,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,12.28,12.29,12.24,12.245,1622.0,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,12.245,12.305,12.245,12.285,1720.0,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,12.285,12.29,12.265,12.275,1220.0,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,12.275,12.335,12.27,12.325,1844.0,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,12.325,12.335,12.31,12.325,868.0,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,12.325,12.35,12.31,12.315,1388.0,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,12.315,12.325,12.305,12.31,1167.0,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,12.315,12.315,12.29,12.29,489.0,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,12.295,12.295,12.275,12.285,962.0,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,12.285,12.33,12.27,12.33,1522.0,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,12.33,12.345,12.325,12.325,586.0,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,12.325,12.335,12.305,12.31,700.0,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,12.315,12.32,12.275,12.29,1093.0,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,12.295,12.31,12.29,12.295,240.0,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,12.295,12.325,12.29,12.325,322.0,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,12.325,12.335,12.315,12.335,255.0,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,12.335,12.335,12.315,12.325,511.0,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,12.325,12.325,12.295,12.305,484.0,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,12.305,12.31,12.3,12.3,208.0,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,12.305,12.31,12.3,12.31,224.0,,,,,,,,,,,,#000000
2025-07-09 16:15:00+00:00,12.305,12.325,12.305,12.32,1186.0,,,,,,,,,,,,#000000
2025-07-09 16:20:00+00:00,12.325,12.335,12.3,12.335,2030.0,,,,,,,,,,,,#000000
2025-07-09 16:25:00+00:00,12.335,12.35,12.33,12.35,903.0,,,,,,,,,,,,#000000
2025-07-09 16:30:00+00:00,12.345,12.38,12.345,12.375,626.0,,,,,,,,,,,,#000000
2025-07-09 16:35:00+00:00,12.38,12.39,12.36,12.37,688.0,,,,,,,,,,,,#000000
2025-07-09 16:40:00+00:00,12.375,12.375,12.365,12.375,821.0,,,,,,,,,,,,#000000
2025-07-09 16:45:00+00:00,12.375,12.38,12.37,12.375,34.0,,,,,,,,,,,,#000000
2025-07-09 16:50:00+00:00,12.375,12.385,12.37,12.375,1020.0,,,,,,,,,,,,#000000
2025-07-09 16:55:00+00:00,12.375,12.375,12.355,12.365,814.0,,,,,,,,,,,,#000000
2025-07-09 17:00:00+00:00,12.365,12.38,12.36,12.375,677.0,,,,,,,,,,,,#000000
2025-07-09 17:05:00+00:00,12.375,12.385,12.365,12.385,846.0,,,,,,,,,,,,#000000
