date,Open,High,Low,Close,Volume,aVWAP_peak_872,aVWAP_peak_842,aVWAP_peak_815,aVWAP_peak_766,aVWAP_peak_745,aVWAP_peak_744,aVWAP_peak_715,aVWAP_peak_709,aVWAP_peak_695,aVWAP_peak_693,aVWAP_peak_692,aVWAP_peak_691,aVWAP_peak_690,aVWAP_peak_654,aVWAP_peak_615,aVWAP_peak_566,aVWAP_peak_548,aVWAP_peak_521,aVWAP_peak_520,aVWAP_peak_519,aVWAP_peak_518,aVWAP_peak_505,aVWAP_peak_440,aVWAP_peak_422,aVWAP_peak_402,aVWAP_peak_390,aVWAP_peak_357,aVWAP_peak_356,aVWAP_peak_328,aVWAP_peak_307,aVWAP_peak_281,aVWAP_peak_259,aVWAP_peak_227,aVWAP_valley_857,aVWAP_valley_833,aVWAP_valley_809,aVWAP_valley_794,aVWAP_valley_725,aVWAP_valley_708,aVWAP_valley_684,aVWAP_valley_659,aVWAP_valley_630,aVWAP_valley_593,aVWAP_valley_592,aVWAP_valley_591,aVWAP_valley_590,aVWAP_valley_589,aVWAP_valley_564,aVWAP_valley_554,aVWAP_valley_527,aVWAP_valley_526,aVWAP_valley_525,aVWAP_valley_504,aVWAP_valley_476,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,1.51,1.54,1.48,1.485,686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,686.0,False,False,False,False
2024-12-19 16:00:00+00:00,1.485,1.505,1.465,1.485,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,686.217054263566,False,False,False,False
2024-12-19 17:00:00+00:00,1.485,1.49,1.46,1.465,1381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1381.0,-21.410852713178294,False,False,False,False,696.9888828796347,False,False,False,False
2024-12-19 18:00:00+00:00,1.465,1.47,1.445,1.465,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1381.0,-42.48975422150111,False,False,False,False,712.9270397342141,False,False,False,False
2024-12-19 19:00:00+00:00,1.465,1.485,1.46,1.465,3051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1381.0,-63.241851055276285,False,False,False,False,749.1762329166294,False,False,False,False
2024-12-19 20:00:00+00:00,1.465,1.475,1.45,1.45,802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2183.0,-96.10631848077588,False,False,False,False,749.9952060497048,False,False,False,False
2024-12-20 15:00:00+00:00,1.48,1.545,1.48,1.545,1868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-315.0,-99.50001896944602,False,False,False,False,767.328613707849,False,False,False,False
2024-12-20 16:00:00+00:00,1.545,1.58,1.545,1.565,2378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2063.0,-65.97288689240034,False,False,False,False,792.3002631077272,False,False,False,False
2024-12-20 17:00:00+00:00,1.565,1.585,1.555,1.58,3651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,5714.0,23.639095850117485,False,False,False,False,836.6211892610958,False,False,False,False
2024-12-20 18:00:00+00:00,1.58,1.605,1.565,1.585,2637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,8351.0,152.74546645709242,False,False,False,False,864.5340390399936,False,False,False,False
