date,Open,High,Low,Close,Volume,aVWAP_peak_872,aVWAP_peak_818,aVWAP_peak_737,aVWAP_valley_876,aVWAP_valley_834,aVWAP_valley_821,aVWAP_valley_779,aVWAP_valley_702,aVWAP_valley_660,aVWAP_valley_627,aVWAP_valley_608,aVWAP_valley_588,aVWAP_valley_564,aVWAP_valley_525,aVWAP_valley_507,aVWAP_valley_475,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,30.015,30.03,29.755,30.015,11101.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,11101.0,False,False,False,False
2024-12-19 16:00:00+00:00,30.005,30.22,29.945,30.11,9531.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,9531.0,147.7674418604651,False,False,False,False,11076.658914728683,False,False,False,False
2024-12-19 17:00:00+00:00,30.11,30.18,30.02,30.175,14082.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,23613.0,511.5694970254191,False,False,False,False,11123.253350159246,False,False,False,False
2024-12-19 18:00:00+00:00,30.175,30.315,30.07,30.31,5044.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,28657.0,947.9327606374281,False,False,False,False,11029.001360234297,False,False,False,False
2024-12-19 19:00:00+00:00,30.305,30.315,30.16,30.175,4366.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24291.0,1309.8407798523517,False,False,False,False,10925.699013563997,False,False,False,False
2024-12-19 20:00:00+00:00,30.18,30.39,30.085,30.115,19096.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,5195.0,1370.0758065213076,False,False,False,False,11052.370346687036,False,False,False,False
2024-12-20 15:00:00+00:00,29.96,30.29,29.925,30.225,4310.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,9505.0,1496.1986622341556,False,False,False,False,10947.837473094989,False,False,False,False
2024-12-20 16:00:00+00:00,30.225,30.5,30.215,30.485,2512.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,12017.0,1659.311861269285,False,False,False,False,10817.049295217546,False,False,False,False
2024-12-20 17:00:00+00:00,30.485,30.59,30.44,30.455,4057.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,7960.0,1756.9969486914665,False,False,False,False,10712.24232940022,False,False,False,False
2024-12-20 18:00:00+00:00,30.455,30.47,30.34,30.365,2597.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,5363.0,1812.9039727427614,False,False,False,False,10586.424618866884,False,False,False,False
2024-12-20 19:00:00+00:00,30.365,30.525,30.335,30.475,2563.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,7926.0,1907.680655335897,False,False,False,False,10462.030438729413,False,False,False,False
2024-12-20 20:00:00+00:00,30.475,30.49,30.225,30.31,14384.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6458.0,1777.9801800593714,False,False,False,False,10522.836168361515,False,False,False,False
2024-12-23 15:00:00+00:00,30.285,30.285,30.15,30.19,375.0,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-6833.0,1644.4766113762803,False,False,False,False,10365.505375053584,False,False,False,False
