date,Open,High,Low,Close,Volume,aVWAP_peak_221,aVWAP_peak_220,aVWAP_peak_202,aVWAP_peak_182,aVWAP_peak_151,aVWAP_valley_215,aVWAP_valley_188,aVWAP_valley_156,aVWAP_valley_143,aVWAP_valley_108,aVWAP_valley_107,aVWAP_valley_37,aVWAP_valley_22,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,56.41,56.41,56.41,56.41,72.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,56.465,56.84,56.465,56.74,597.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,56.74,56.74,56.54,56.54,70.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,56.54,56.96,56.54,56.96,561.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,56.915,56.975,56.82,56.83,671.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,56.93,56.98,56.87,56.965,1393.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,56.95,56.96,56.65,56.87,850.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,56.84,56.9,56.76,56.775,1146.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,56.765,56.83,56.735,56.77,617.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,56.77,56.77,56.605,56.61,384.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,56.61,56.76,56.55,56.55,927.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,56.53,56.53,56.385,56.39,522.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,56.38,56.43,56.17,56.425,292.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,56.435,56.535,56.38,56.4,1086.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,56.365,56.365,56.07,56.14,584.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,56.13,56.265,56.13,56.25,767.0,,,,,,,,,,,,,,,,#000000
