date,Close,High,Low,Open,Volume,aVWAP_peak_17,Peaks_avg,color
2021-12-31 00:00:00+00:00,9.79,9.79,9.74,9.75,103724,,,#000000
2022-01-07 00:00:00+00:00,9.8,9.81,9.76,9.78,48798,,,#000000
2022-01-14 00:00:00+00:00,9.78,9.79,9.765,9.78,11734,,,#000000
2022-01-21 00:00:00+00:00,9.75,9.78,9.74,9.78,127636,,,#000000
2022-01-28 00:00:00+00:00,9.752,9.76,9.74,9.74,22902,,,#000000
2022-02-04 00:00:00+00:00,9.74,9.79,9.74,9.762,102786,,,#000000
2022-02-11 00:00:00+00:00,9.76,9.7799,9.74,9.74,149909,,,#000000
2022-02-18 00:00:00+00:00,9.7724,9.78,9.75,9.76,34899,,,#000000
2022-02-25 00:00:00+00:00,9.755,9.78,9.74,9.75,3645,,,#000000
2022-03-04 00:00:00+00:00,9.78,9.81,9.75,9.76,471611,,,#000000
2022-03-11 00:00:00+00:00,9.79,9.7978,9.7501,9.78,57152,,,#000000
2022-03-18 00:00:00+00:00,9.806,9.806,9.78,9.78,75390,,,#000000
2022-03-25 00:00:00+00:00,9.81,9.8136,9.79,9.79,72724,,,#000000
2022-04-01 00:00:00+00:00,9.83,9.84,9.79,9.8191,172389,,,#000000
2022-04-08 00:00:00+00:00,9.83,9.87,9.83,9.84,2871,,,#000000
2022-04-15 00:00:00+00:00,9.83,9.85,9.82,9.8481,1664926,,,#000000
2022-04-22 00:00:00+00:00,9.86,9.86,9.83,9.86,9717,,,#000000
2022-04-29 00:00:00+00:00,9.84,9.94,9.84,9.94,75505,9.873333333333333,9.873333333333333,#000000
2022-05-06 00:00:00+00:00,9.85,9.86,9.85,9.855,515506,9.855888446520737,9.855888446520737,#000000
2022-05-13 00:00:00+00:00,9.823,9.85,9.8,9.84,125698,9.850354241400625,9.850354241400625,#000000
2022-05-20 00:00:00+00:00,9.8,9.825,9.8,9.82,104395,9.845011711468137,9.845011711468137,#000000
2022-05-27 00:00:00+00:00,9.8201,9.8399,9.8,9.81,1719538,9.828083475095402,9.828083475095402,#000000
2022-06-03 00:00:00+00:00,9.85,9.85,9.82,9.83,259949,9.829189559037124,9.829189559037124,#000000
2022-06-10 00:00:00+00:00,9.85,9.89,9.85,9.89,1777,9.829211209829213,9.829211209829213,#000000
2022-06-17 00:00:00+00:00,9.86,9.86,9.82,9.84,1282262,9.834690890729393,9.834690890729393,#000000
2022-06-24 00:00:00+00:00,9.83,9.86,9.82,9.845,22896,9.834701904017162,9.834701904017162,#000000
2022-07-01 00:00:00+00:00,9.85,9.86,9.84,9.84,314765,9.835790775188698,9.835790775188698,#000000
2022-07-08 00:00:00+00:00,9.84,9.895,9.84,9.85,30923,9.835947310115047,9.835947310115047,#000000
2022-07-15 00:00:00+00:00,9.87,9.94,9.85,9.86,236122,9.83850118040877,9.83850118040877,#000000
