date,Close,High,Low,Open,Volume,aVWAP_peak_158,aVWAP_peak_115,aVWAP_peak_82,aVWAP_valley_171,aVWAP_valley_146,aVWAP_valley_136,aVWAP_valley_100,aVWAP_valley_39,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,14.2262040596,14.3204173316,13.359441958,13.557289829,100801,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,14.2262040596,14.7443770552,13.7174523913,14.4052092763,160791,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,14.6218998017,14.8291689999,13.8399296448,14.3769452947,201006,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,13.4442339027,14.9987528894,13.3783788257,14.8480116543,196280,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,13.1710154142,13.9576962347,12.7376343633,13.2558073589,212320,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,13.802244336,14.0095135342,13.0815128058,13.1710154142,130706,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,14.2733106956,14.6124784745,13.5902644742,13.7645590272,193497,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,14.7161130736,15.1871794332,13.7739803544,14.2733106956,267707,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,13.8870362807,14.9893315622,13.312335322,14.9893315622,182603,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,14.6917652752,14.7154158954,13.8116656632,13.9341429167,207273,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,14.001167165,15.0228739582,14.001167165,14.672844779,514151,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,14.4741795693,14.6823050271,12.8280964026,14.1525311344,432152,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,14.5498615539,14.9471919735,14.0106274131,14.3417360961,175838,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,13.8214224514,14.4741795693,13.5281547608,14.3890373365,205275,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,14.1809118786,14.2660541114,13.2727280625,13.8119622033,190227,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,14.0673889016,14.3228155999,13.4808535204,13.9633261727,155673,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,13.1970460778,14.445798825,13.1119038451,14.1714516305,205110,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,11.9388330826,13.4619330242,11.7496281209,12.7807951621,416994,,,,,,,,,,,#000000
