date,Open,High,Low,Close,Volume,aVWAP_peak_873,aVWAP_peak_872,aVWAP_peak_871,aVWAP_peak_858,aVWAP_peak_769,aVWAP_peak_745,aVWAP_peak_739,aVWAP_peak_697,aVWAP_peak_696,aVWAP_peak_668,aVWAP_peak_667,aVWAP_peak_666,aVWAP_peak_665,aVWAP_peak_664,aVWAP_peak_642,aVWAP_peak_641,aVWAP_peak_640,aVWAP_peak_562,aVWAP_peak_561,aVWAP_peak_560,aVWAP_peak_558,aVWAP_peak_555,aVWAP_peak_533,aVWAP_peak_512,aVWAP_peak_511,aVWAP_peak_473,aVWAP_peak_461,aVWAP_peak_460,aVWAP_peak_420,aVWAP_peak_395,aVWAP_peak_349,aVWAP_peak_325,aVWAP_peak_287,aVWAP_peak_234,aVWAP_valley_888,aVWAP_valley_838,aVWAP_valley_825,aVWAP_valley_824,aVWAP_valley_823,aVWAP_valley_778,aVWAP_valley_767,aVWAP_valley_723,aVWAP_valley_722,aVWAP_valley_721,aVWAP_valley_720,aVWAP_valley_700,aVWAP_valley_685,aVWAP_valley_684,aVWAP_valley_683,aVWAP_valley_656,aVWAP_valley_655,aVWAP_valley_605,aVWAP_valley_590,aVWAP_valley_564,aVWAP_valley_545,aVWAP_valley_521,aVWAP_valley_491,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,1.895,1.91,1.86,1.865,685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,1.86,1.865,1.83,1.845,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,1.845,1.855,1.825,1.835,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,1.835,1.85,1.825,1.825,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,1.825,1.835,1.805,1.81,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,1.81,1.82,1.8,1.815,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,1.78,1.8,1.76,1.785,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,1.785,1.785,1.755,1.765,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,1.765,1.78,1.76,1.765,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,1.765,1.785,1.76,1.77,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
