date,Open,High,Low,Close,Volume,aVWAP_peak_606,aVWAP_peak_581,aVWAP_peak_546,aVWAP_peak_512,aVWAP_peak_497,aVWAP_peak_455,aVWAP_peak_381,aVWAP_peak_360,aVWAP_peak_359,aVWAP_peak_335,aVWAP_peak_305,aVWAP_peak_275,aVWAP_peak_244,aVWAP_peak_220,aVWAP_peak_203,aVWAP_valley_589,aVWAP_valley_577,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,4.275,4.335,4.245,4.315,87082.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,87082.0,False,False,False,False
2023-10-31 16:00:00+00:00,4.395,4.405,4.27,4.32,75760.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,75760.0,1174.5736434108528,False,False,False,False,86906.46511627907,False,False,False,False
2023-11-01 16:00:00+00:00,4.42,4.435,4.355,4.37,57529.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,133289.0,3222.8593233579713,False,False,False,False,86451.00054083287,False,False,False,False
2023-11-02 16:00:00+00:00,4.485,4.555,4.45,4.54,101813.0,,,,,,,,,,,,,,,,,,,,,#000000,,-1.0,4.555,4.45,0.0,,,False,False,False,False,,,False,False,False,False,235102.0,6817.884760205134,False,False,False,False,86689.17107508352,False,False,False,False
2023-11-03 16:00:00+00:00,4.505,4.505,4.415,4.42,156239.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,78863.0,7934.863291054666,False,False,False,False,87767.46299640005,False,False,False,False
2023-11-06 16:00:00+00:00,4.37,4.385,4.265,4.325,97425.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-18562.0,7524.05920902281,False,False,False,False,87917.19225226982,False,False,False,False
2023-11-06 20:00:00+00:00,4.325,4.33,4.29,4.3,28556.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-47118.0,6676.895500355789,False,False,False,False,86996.86369021912,False,False,False,False
2023-11-07 16:00:00+00:00,4.055,4.08,4.0,4.02,135912.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-183030.0,3735.703322055699,False,False,False,False,87755.23789657232,False,False,False,False
2023-11-07 20:00:00+00:00,4.025,4.03,3.995,4.005,20663.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-203693.0,519.7544333416572,False,False,False,False,86715.04816174174,False,False,False,False
2023-11-08 16:00:00+00:00,3.845,3.895,3.785,3.83,104256.0,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-307949.0,-4262.706875702399,False,False,False,False,86987.00090342015,False,False,False,False
