date,Open,High,Low,Close,Volume,aVWAP_peak_874,aVWAP_peak_872,aVWAP_valley_856,aVWAP_valley_795,aVWAP_valley_733,aVWAP_valley_660,aVWAP_valley_564,aVWAP_valley_527,aVWAP_valley_509,aVWAP_valley_476,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,96.73,97.12,96.53,96.74,7149.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7149.0,False,False,False,False
2024-12-19 16:00:00+00:00,96.7,97.09,96.45,96.795,3219.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3219.0,49.906976744186046,False,False,False,False,7088.069767441861,False,False,False,False
2024-12-19 17:00:00+00:00,96.795,96.97,96.665,96.97,3955.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,7174.0,160.3580313683072,False,False,False,False,7039.495042365243,False,False,False,False
2024-12-19 18:00:00+00:00,96.97,97.32,96.77,97.29,2933.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10107.0,314.56953475794586,False,False,False,False,6975.828452561131,False,False,False,False
2024-12-19 19:00:00+00:00,97.28,97.35,96.73,96.765,7984.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2123.0,342.60721638960564,False,False,False,False,6991.45901918809,False,False,False,False
2024-12-19 20:00:00+00:00,96.765,97.07,96.6,96.66,21693.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-19570.0,33.884623887441194,False,False,False,False,7219.389887107654,False,False,False,False
2024-12-20 15:00:00+00:00,96.38,96.65,96.06,96.54,1647.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-21217.0,-295.5864555526742,False,False,False,False,7132.996245447071,False,False,False,False
2024-12-20 16:00:00+00:00,96.535,96.69,96.42,96.68,1000.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-20217.0,-604.4455802727878,False,False,False,False,7037.911032339364,False,False,False,False
2024-12-20 17:00:00+00:00,96.685,96.8,96.465,96.61,1291.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-21508.0,-928.5316953073182,False,False,False,False,6948.811636489142,False,False,False,False
2024-12-20 18:00:00+00:00,96.58,96.625,96.19,96.36,4106.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-25614.0,-1311.2521341397628,False,False,False,False,6904.737037473807,False,False,False,False
2024-12-20 19:00:00+00:00,96.33,96.75,96.32,96.61,1838.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-23776.0,-1659.542798726743,False,False,False,False,6826.182974877313,False,False,False,False
2024-12-20 20:00:00+00:00,96.61,96.74,96.35,96.57,4970.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-28746.0,-2079.4878716147005,False,False,False,False,6797.40494425906,False,False,False,False
2024-12-23 15:00:00+00:00,95.94,96.01,95.92,96.0,1006.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29752.0,-2508.51906740362,False,False,False,False,6707.61572031706,False,False,False,False
2024-12-23 16:00:00+00:00,96.0,96.0,96.0,96.0,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29752.0,-2930.8986167461994,False,False,False,False,6603.6216781416015,False,False,False,False
2024-12-23 17:00:00+00:00,96.0,96.0,96.0,96.0,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29752.0,-3346.729645943933,False,False,False,False,6501.239946697546,False,False,False,False
2024-12-23 18:00:00+00:00,96.0,96.0,96.0,96.0,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29752.0,-3756.1136824409264,False,False,False,False,6400.445528919289,False,False,False,False
2024-12-23 19:00:00+00:00,96.0,96.0,96.0,96.0,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29752.0,-4159.150679612385,False,False,False,False,6301.213815292634,False,False,False,False
2024-12-23 20:00:00+00:00,96.0,96.0,96.0,96.0,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29752.0,-4555.939041168782,False,False,False,False,6203.520577846236,False,False,False,False
2024-12-24 15:00:00+00:00,96.85,96.97,96.64,96.7,696.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29056.0,-4935.784947507251,False,False,False,False,6118.132661910636,False,False,False,False
2024-12-24 16:00:00+00:00,96.7,96.85,96.56,96.57,1513.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-30569.0,-5333.199134367604,False,False,False,False,6046.7352562996175,False,False,False,False
2024-12-24 17:00:00+00:00,96.58,96.83,96.54,96.83,3624.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-5668.265814454928,False,False,False,False,6009.173469380244,False,False,False,False
2024-12-24 18:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-5998.137662292836,False,False,False,False,5916.007989234813,False,False,False,False
2024-12-24 19:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-6322.8952179162025,False,False,False,False,5824.286935138149,False,False,False,False
2024-12-24 20:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-6642.617772677191,False,False,False,False,5733.987912887945,False,False,False,False
2024-12-25 15:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-6957.383388604677,False,False,False,False,5645.088875478829,False,False,False,False
2024-12-25 16:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-7267.268917463519,False,False,False,False,5557.568117719467,False,False,False,False
2024-12-25 17:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-7572.350019518348,False,False,False,False,5471.404270933119,False,False,False,False
2024-12-25 18:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-7872.701182006435,False,False,False,False,5386.576297740357,False,False,False,False
2024-12-25 19:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-8168.395737324165,False,False,False,False,5303.063486922677,False,False,False,False
2024-12-25 20:00:00+00:00,96.83,96.83,96.83,96.83,0.0,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26945.0,-8459.505880931541,False,False,False,False,5220.845448365736,False,False,False,False
