date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 18:00:00+00:00,3.255,3.255,3.255,3.255,151.0,,#000000,,,,,,False,False,False,False,False,,,,3.255,3.255,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,151.0,False,False,False,False
2024-12-16 19:00:00+00:00,3.255,3.32,3.255,3.32,200.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,3.2874999999999996,3.2874999999999996,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,3.10077519379845,False,False,False,False,151.75968992248062,False,False,False,False
2024-12-16 20:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,6.15347635358452,False,False,False,False,149.40682651282975,False,False,False,False
2024-12-17 15:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,9.158848813218869,False,False,False,False,147.0904416056541,False,False,False,False
2024-12-17 16:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,12.117626350998421,False,False,False,False,144.80996964277574,False,False,False,False
2024-12-17 17:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,15.0305313688124,False,False,False,False,142.5648538343606,False,False,False,False
2024-12-17 18:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,17.898275068520732,False,False,False,False,140.35454602297517,False,False,False,False
2024-12-17 19:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,20.72155762559793,False,False,False,False,138.17850654975075,False,False,False,False
2024-12-17 20:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,23.501068360084787,False,False,False,False,136.03620412262282,False,False,False,False
2024-12-18 15:00:00+00:00,3.32,3.32,3.32,3.32,0.0,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,3.32,3.32,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,200.0,26.237485904889674,False,False,False,False,133.92711568661315,False,False,False,False
