date,Open,High,Low,Close,Volume,aVWAP_peak_222,aVWAP_peak_221,aVWAP_peak_220,aVWAP_peak_176,aVWAP_peak_97,aVWAP_peak_74,aVWAP_peak_73,aVWAP_peak_29,aVWAP_valley_208,aVWAP_valley_205,aVWAP_valley_204,aVWAP_valley_203,aVWAP_valley_157,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,5.975,6.015,5.965,6.015,600.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,6.035,6.035,5.965,5.985,100.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,5.985,6.005,5.985,6.0,0.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,5.995,6.0,5.98,5.985,0.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,5.985,5.995,5.975,5.975,100.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,5.975,5.985,5.965,5.965,0.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,5.965,5.995,5.96,5.995,365.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,5.995,5.995,5.99,5.99,100.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,5.995,5.995,5.98,5.99,641.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,5.99,5.99,5.975,5.98,460.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,5.98,5.995,5.98,5.99,128.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,5.99,6.025,5.99,6.02,28.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,6.02,6.02,5.99,6.01,0.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,6.01,6.025,5.995,6.02,108.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,6.02,6.05,6.02,6.04,6.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,6.045,6.045,6.025,6.03,109.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,6.03,6.045,6.03,6.03,189.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,6.03,6.05,6.03,6.03,11.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,6.03,6.06,6.03,6.055,244.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,6.055,6.06,6.05,6.055,17.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,6.055,6.055,6.045,6.05,403.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,6.05,6.05,6.035,6.035,100.0,,,,,,,,,,,,,,,,#000000
