date,Open,High,Low,Close,Volume,aVWAP_peak_857,aVWAP_peak_835,aVWAP_peak_834,aVWAP_peak_811,aVWAP_peak_773,aVWAP_peak_732,aVWAP_valley_889,aVWAP_valley_853,aVWAP_valley_823,aVWAP_valley_793,aVWAP_valley_763,aVWAP_valley_760,aVWAP_valley_709,aVWAP_valley_664,aVWAP_valley_638,aVWAP_valley_600,aVWAP_valley_582,aVWAP_valley_543,aVWAP_valley_495,aVWAP_valley_480,aVWAP_valley_456,aVWAP_valley_419,aVWAP_valley_398,aVWAP_valley_356,aVWAP_valley_306,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,46.155,46.23,45.91,46.09,5847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,46.09,46.22,46.01,46.16,4488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,46.16,46.23,46.11,46.22,3793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,46.22,46.32,46.165,46.295,4551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,46.3,46.32,46.16,46.25,5362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,46.255,46.295,46.045,46.055,20535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,46.235,46.385,46.125,46.31,5914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,46.31,46.36,45.975,46.17,6377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,46.17,46.18,45.98,46.04,8973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,46.04,46.1,45.965,45.99,12214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,45.995,46.01,45.795,45.82,8701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
