date,Open,High,Low,Close,Volume,aVWAP_OB_bull_774,aVWAP_OB_bull_624,aVWAP_OB_bull_504,aVWAP_OB_bear_750,aVWAP_OB_bear_465,aVWAP_OB_bear_330,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,70.3,70.69,70.025,70.605,76294.0,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,76294.0,False,False,False,False
2024-12-16 16:00:00+00:00,70.61,70.765,70.23,70.545,81321.0,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-81321.0,-1260.7906976744187,False,False,False,False,76371.93798449612,False,False,False,False
2024-12-16 17:00:00+00:00,70.545,70.64,70.32,70.61,64044.0,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.309859154928976,-77.46478873239346,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17277.0,-1509.1040201910944,False,False,False,False,76180.80716303106,False,False,False,False
2024-12-16 18:00:00+00:00,70.605,71.05,70.59,70.99,53062.0,,,,,,,,#000000,,,,42.28290864781509,-54.05805827330306,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35785.0,-930.9008570873564,False,False,False,False,75822.37604422438,False,False,False,False
2024-12-16 19:00:00+00:00,70.99,71.5,70.985,71.465,60992.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,59.972009102705755,-36.646673368685995,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,96777.0,583.9503189915173,False,False,False,False,75592.44773346122,False,False,False,False
2024-12-16 20:00:00+00:00,71.47,72.29,71.455,72.03,286757.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,72.40367768544778,-23.771162297537614,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,383534.0,6521.160391565291,False,False,False,False,78866.31676084941,False,False,False,False
2024-12-17 15:00:00+00:00,71.395,71.46,70.695,70.92,84471.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,65.2342904476599,-23.771162297537614,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,299063.0,11056.692788595286,False,False,False,False,78953.21107463469,False,False,False,False
2024-12-17 16:00:00+00:00,70.915,70.97,70.63,70.955,76711.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.726906311280615,-23.771162297537614,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,375774.0,16711.224683345747,False,False,False,False,78918.44811223724,False,False,False,False
2024-12-17 17:00:00+00:00,70.96,70.98,70.6,70.83,60605.0,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.642352684652366,-23.771162297537614,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,315169.0,21338.47701383651,False,False,False,False,78634.51868414054,False,False,False,False
2024-12-17 18:00:00+00:00,70.825,70.875,70.38,70.42,41959.0,,,,,,,,#000000,,,,50.8860389597381,-23.771162297537614,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,273210.0,25243.461866335165,False,False,False,False,78065.90599136316,False,False,False,False
