date,Open,High,Low,Close,Volume,aVWAP_peak_601,aVWAP_peak_581,aVWAP_peak_492,aVWAP_valley_610,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,101.55,101.93,100.61,101.5,24847.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,24847.0,False,False,False,False
2023-10-31 16:00:00+00:00,101.19,102.49,101.1,102.395,29877.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,29877.0,463.2093023255814,False,False,False,False,24924.98449612403,False,False,False,False
2023-11-01 16:00:00+00:00,102.01,104.485,101.57,104.03,71688.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,101565.0,2030.67892554534,False,False,False,False,25649.992488432184,False,False,False,False
2023-11-02 16:00:00+00:00,101.0,102.355,100.7,102.08,69851.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,31714.0,2490.8854538314586,False,False,False,False,26335.279426596026,False,False,False,False
2023-11-03 16:00:00+00:00,105.01,105.02,104.35,104.64,46061.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,77775.0,3658.0810281906606,False,False,False,False,26641.10455176508,False,False,False,False
2023-11-06 16:00:00+00:00,103.42,104.21,103.34,103.8,13764.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,64011.0,4593.785198296232,False,False,False,False,26441.459519954766,False,False,False,False
2023-11-06 20:00:00+00:00,103.8,103.91,103.47,103.87,12082.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,76093.0,5702.300156462183,False,False,False,False,26218.83224057562,False,False,False,False
2023-11-07 16:00:00+00:00,105.94,107.28,105.94,106.74,25603.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,101696.0,7190.574572641063,False,False,False,False,26209.284453900025,False,False,False,False
2023-11-07 20:00:00+00:00,106.78,107.02,106.62,106.68,14411.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,87285.0,8432.348610274536,False,False,False,False,26026.36531507987,False,False,False,False
2023-11-08 16:00:00+00:00,107.36,107.485,105.17,105.71,34781.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,52504.0,9115.630027169504,False,False,False,False,26162.096085388708,False,False,False,False
2023-11-08 20:00:00+00:00,105.71,105.9,105.24,105.24,10674.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,41830.0,9622.829561631992,False,False,False,False,25921.970564685005,False,False,False,False
2023-11-09 16:00:00+00:00,105.99,106.8,105.155,105.39,13577.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,55407.0,10332.661661451652,False,False,False,False,25730.575672209266,False,False,False,False
2023-11-09 20:00:00+00:00,105.39,106.035,105.25,105.925,10786.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,66193.0,11198.713418638446,False,False,False,False,25498.876824578114,False,False,False,False
2023-11-10 16:00:00+00:00,106.705,108.22,106.63,108.18,17114.0,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,83307.0,12316.671350132425,False,False,False,False,25368.878734274575,False,False,False,False
