date,Close,High,Low,Open,Volume,aVWAP_peak_135,aVWAP_peak_123,aVWAP_peak_87,aVWAP_peak_55,aVWAP_valley_169,aVWAP_valley_146,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,144.9,176.75,141.4,165.9,49917,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,127.4,150.5,124.6,147.35,13318,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,106.4,129.15,105.35,122.85,9984,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,89.25,108.43,89.25,105.0,7929,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,84.35,103.6,82.95,87.5,5408,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,91.0,95.55,86.1,86.8,4787,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,84.0,99.05,82.25,91.0,4223,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,80.85,96.985,78.925,84.0,2678,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,79.45,80.85,73.5,78.75,2269,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,75.25,89.95,70.35,77.0,3384,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,72.45,76.65,66.6995,72.8,6077,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,73.15,86.45,67.55,77.0,11407,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,76.545,78.1865,70.35,74.9,3424,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,75.6,79.443,66.5,77.105,5860,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,70.0,79.45,68.32,77.35,2641,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,68.25,70.7,67.9,67.9,1959,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,65.45,72.45,65.0895,68.6,2073,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,55.65,68.2465,53.2,65.4535,2899,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,55.3,57.4,52.15,57.05,2244,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,49.0,60.2,43.05,57.75,7249,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,45.5,58.1,42.0,50.75,4043,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,44.8035,47.25,42.7,45.5,1619,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,47.6,49.0,45.4475,48.3,582,,,,,,,,,#000000
2022-06-10 00:00:00+00:00,43.75,48.65,43.533,46.2,1999,,,,,,,,,#000000
2022-06-17 00:00:00+00:00,35.35,45.85,32.9,42.35,2243,,,,,,,,,#000000
2022-06-24 00:00:00+00:00,29.925,38.5,29.925,35.0,1863,,,,,,,,,#000000
2022-07-01 00:00:00+00:00,35.35,39.9,34.153,38.15,2408,,,,,,,,,#000000
2022-07-08 00:00:00+00:00,36.05,38.5,31.15,37.8,3455,,,,,,,,,#000000
2022-07-15 00:00:00+00:00,34.7095,36.05,33.3585,36.05,588,,,,,,,,,#000000
2022-07-22 00:00:00+00:00,40.25,40.25,34.65,35.0,1085,,,,,,,,,#000000
2022-07-29 00:00:00+00:00,42.7,43.4,38.7765,43.4,662,,,,,,,,,#000000
2022-08-05 00:00:00+00:00,39.375,44.8,38.15,44.8,24834,,,,,,,,,#000000
2022-08-12 00:00:00+00:00,26.25,30.1,24.5,29.75,99665,,,,,,,,,#000000
2022-08-19 00:00:00+00:00,26.432,29.4,22.141,28.854,54502,,,,,,,,,#000000
2022-08-26 00:00:00+00:00,24.6785,26.6595,22.7535,26.32,25989,,,,,,,,,#000000
2022-09-02 00:00:00+00:00,25.8965,26.179965,24.5035,24.5455,4670,,,,,,,,,#000000
2022-09-09 00:00:00+00:00,26.5405,28.35,25.501,25.9,7150,,,,,,,,,#000000
2022-09-16 00:00:00+00:00,24.85,27.86,23.975,26.6,13308,,,,,,,,,#000000
2022-09-23 00:00:00+00:00,18.5675,26.0925,17.5,26.0925,11090,,,,,,,,,#000000
2022-09-30 00:00:00+00:00,11.452,19.2535,9.877,19.25,18908,,,,,,,,,#000000
2022-10-07 00:00:00+00:00,13.44,15.3965,10.85,13.349,6124,,,,,,,,,#000000
2022-10-14 00:00:00+00:00,12.425,14.042,10.465,14.042,3464,,,,,,,,,#000000
2022-10-21 00:00:00+00:00,11.2,16.975,10.325,11.2105,31656,,,,,,,,,#000000
2022-10-28 00:00:00+00:00,12.6,21.35,10.5,10.5,107059,,,,,,,,,#000000
2022-11-04 00:00:00+00:00,10.64,14.0,10.5385,13.3,11064,,,,,,,,,#000000
2022-11-11 00:00:00+00:00,12.005,13.65,10.5105,13.65,29193,,,,,,,,,#000000
2022-11-18 00:00:00+00:00,10.85,11.9,10.5175,11.417,3754,,,,,,,,,#000000
2022-11-25 00:00:00+00:00,10.85,11.711,9.7804,10.85,3965,,,,,,,,,#000000
2022-12-02 00:00:00+00:00,12.11,13.8495,10.85,11.2,4820,,,,,,,,,#000000
2022-12-09 00:00:00+00:00,8.9425,12.25,8.75,11.522,7069,,,,,,,,,#000000
2022-12-16 00:00:00+00:00,10.85,14.7,9.1,9.1,24830,,,,,,,,,#000000
2022-12-23 00:00:00+00:00,10.605,11.6655,8.75,10.5,134700,,,,,,,,,#000000
2022-12-30 00:00:00+00:00,8.65,10.605,7.7,10.605,91325,,,,,,,,,#000000
2023-01-06 00:00:00+00:00,9.52,16.65,8.33,8.49,1093532,,,,,,,,,#000000
2023-01-13 00:00:00+00:00,9.6764,12.43,8.8501,9.52,241764,,,,,,,,,#000000
2023-01-20 00:00:00+00:00,12.56,20.0,9.66,9.66,1656725,,,,14.073333333333334,,,14.073333333333334,,#000000
