date,Close,High,Low,Open,Volume,aVWAP_peak_162,aVWAP_peak_146,aVWAP_peak_118,aVWAP_peak_86,aVWAP_peak_57,aVWAP_peak_33,aVWAP_peak_22,aVWAP_valley_167,aVWAP_valley_130,aVWAP_valley_95,aVWAP_valley_94,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.545,7.68,7.5,7.58,27151,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,27151.0,False,False,False,False
2022-01-07 00:00:00+00:00,7.5042,7.6,7.5,7.545,9262,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-9262,-686.074074074074,False,False,False,False,25825.888888888887,False,False,False,False
2022-01-14 00:00:00+00:00,7.55,7.56,7.1,7.51,34389,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,25127,1226.00548696845,False,False,False,False,26460.193415637856,False,False,False,False
2022-01-21 00:00:00+00:00,7.1,7.52,7.1,7.44,5208,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,19919,2610.6717471930087,False,False,False,False,24885.956866331348,False,False,False,False
2022-01-28 00:00:00+00:00,6.52,7.5042,6.475,7.13,83372,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-63453,-2282.93356741388,False,False,False,False,29218.25635771421,False,False,False,False
2022-02-04 00:00:00+00:00,6.4,6.91,6.09,6.52,32955,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-96408,-9255.160710568407,False,False,False,False,29495.05218306871,False,False,False,False
2022-02-11 00:00:00+00:00,6.645,7.11,6.23,6.5,52896,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-43512,-11792.704361637414,False,False,False,False,31228.45572506362,False,False,False,False
2022-02-18 00:00:00+00:00,5.89,6.65,5.89,6.65,6732,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-50244,-14640.948482997605,False,False,False,False,29413.903449132984,False,False,False,False
2022-02-25 00:00:00+00:00,6.12,6.25,5.5,5.87,21518,,,,,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-28726,-15684.28563240519,False,False,False,False,28829.02171216017,False,False,False,False
2022-03-04 00:00:00+00:00,5.2,6.0711,5.2,6.05,12381,,,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-41107,-17567.449659634436,False,False,False,False,27610.649733481638,False,False,False,False
2022-03-11 00:00:00+00:00,4.85,5.7,4.7344,5.34,3720,,,,,,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-44827,-19586.675610772625,False,False,False,False,25840.97197544596,False,False,False,False
