date,Close,High,Low,Open,Volume,aVWAP_peak_175,aVWAP_peak_147,aVWAP_peak_133,aVWAP_valley_171,aVWAP_valley_160,aVWAP_valley_159,aVWAP_valley_136,aVWAP_valley_98,aVWAP_valley_97,aVWAP_valley_96,aVWAP_valley_92,aVWAP_valley_62,aVWAP_valley_50,aVWAP_valley_24,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,0.6998,0.73,0.6616,0.71,3696325,,,,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,0.6709,0.7299,0.6627,0.6823,1478130,,,,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,0.661,0.7082,0.6037,0.674,2155347,,,,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,0.675,0.8,0.66,0.68,2252113,,,,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,0.6435,0.7347,0.627501,0.68,4029609,,,,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,0.6606,0.69,0.64,0.6425,1902889,,,,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,0.7148,0.718099,0.65,0.65,2813576,,,,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,0.7539,0.785,0.703,0.7298,2442548,,,,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,0.6092,0.79,0.5998,0.7401,4766543,,,,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,0.597101,0.6371,0.564899,0.6371,4960675,,,,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,0.6328,0.6704,0.6049,0.61,6043321,,,,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,0.616,0.642099,0.5625,0.6299,3802879,,,,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,0.6301,0.65,0.611,0.62,2199776,,,,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,0.532,0.6349,0.5031,0.6251,4267350,,,,,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,0.5373,0.549,0.52,0.54,2592866,,,,,,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,0.53,0.541,0.518,0.525,1560432,,,,,,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,0.505,0.5417,0.5,0.532,1809325,,,,,,,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,0.45,0.49,0.45,0.4835,2300332,,,,,,,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,0.4505,0.5,0.43,0.45,1678659,,,,,,,,,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,0.3945,0.458,0.3658,0.434,2943621,,,,,,,,,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,0.402,0.43,0.3911,0.4021,1131021,,,,,,,,,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,0.3999,0.422,0.38,0.42,1569298,,,,,,,,,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,0.44,0.44,0.38,0.4007,1301037,,,,,,,,,,,,,,,,,#000000
2022-06-10 00:00:00+00:00,0.4499,0.4694,0.424,0.4483,1479435,,,,,,,,,,,,,,,,,#000000
2022-06-17 00:00:00+00:00,0.36,0.46,0.36,0.459,1746003,,,,,,,,,,,,,,0.39333333333333337,,0.39333333333333337,#000000
2022-06-24 00:00:00+00:00,0.4,0.415,0.3812,0.39,746547,,,,,,,,,,,,,,0.3949506945898779,,0.3949506945898779,#000000
2022-07-01 00:00:00+00:00,0.415,0.45,0.387,0.3941,1793775,,,,,,,,,,,,,,0.40431755730141794,,0.40431755730141794,#000000
2022-07-08 00:00:00+00:00,0.3859,0.4167,0.375,0.4167,1625423,,,,,,,,,,,,,,0.4010775090661285,,0.4010775090661285,#000000
2022-07-15 00:00:00+00:00,0.378,0.3999,0.3611,0.39,1647073,,,,,,,,,,,,,,0.3964120697835461,,0.3964120697835461,#000000
2022-07-22 00:00:00+00:00,0.3911,0.4,0.375,0.375,1038695,,,,,,,,,,,,,,0.3954803485371046,,0.3954803485371046,#000000
2022-07-29 00:00:00+00:00,0.423101,0.4388,0.382,0.3821,1412413,,,,,,,,,,,,,,0.3981829047210025,,0.3981829047210025,#000000
2022-08-05 00:00:00+00:00,0.4322,0.46,0.4071,0.425,1194339,,,,,,,,,,,,,,0.40190495498420775,,0.40190495498420775,#000000
2022-08-12 00:00:00+00:00,0.4886,0.5,0.43,0.434,1733562,,,,,,,,,,,,,,0.41141323626690096,,0.41141323626690096,#000000
2022-08-19 00:00:00+00:00,0.4682,0.52,0.46,0.498,2511954,,,,,,,,,,,,,,0.423009049069618,,0.423009049069618,#000000
2022-08-26 00:00:00+00:00,0.4908,0.51,0.4421,0.45,1143565,,,,,,,,,,,,,,0.42700331827756205,,0.42700331827756205,#000000
2022-09-02 00:00:00+00:00,0.4893,0.492,0.454,0.492,1416764,,,,,,,,,,,,,,0.43104905601671306,,0.43104905601671306,#000000
2022-09-09 00:00:00+00:00,0.51,0.51,0.4601,0.4601,1881765,,,,,,,,,,,,,,0.4369442811233978,,0.4369442811233978,#000000
2022-09-16 00:00:00+00:00,0.4954,0.5298,0.487,0.51,1690886,,,,,,,,,,,,,,0.44220293576103903,,0.44220293576103903,#000000
2022-09-23 00:00:00+00:00,0.4582,0.5251,0.451,0.495,1448145,,,,,,,,,,,,,,0.4444600830621868,,0.4444600830621868,#000000
2022-09-30 00:00:00+00:00,0.485,0.4899,0.425,0.4504,1694558,,,,,,,,,,,,,,0.4459797250828198,,0.4459797250828198,#000000
