date,Open,High,Low,Close,Volume,aVWAP_peak_217,aVWAP_peak_173,aVWAP_peak_143,aVWAP_peak_131,aVWAP_peak_110,aVWAP_peak_92,aVWAP_peak_70,aVWAP_peak_30,aVWAP_peak_29,aVWAP_valley_216,aVWAP_valley_190,aVWAP_valley_154,aVWAP_valley_124,aVWAP_valley_118,aVWAP_valley_101,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,26.32,26.32,26.32,26.32,147.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,26.32,26.375,26.32,26.325,300.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,26.335,26.45,26.335,26.45,150.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,26.44,26.44,26.38,26.39,556.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,26.39,26.39,26.335,26.34,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,26.335,26.335,26.29,26.32,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,26.32,26.385,26.31,26.32,100.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,26.32,26.33,26.28,26.31,181.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,26.315,26.315,26.25,26.275,123.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,26.29,26.31,26.255,26.31,150.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,26.31,26.33,26.31,26.33,40.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,26.34,26.37,26.34,26.345,149.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,26.345,26.35,26.31,26.315,0.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,26.315,26.33,26.3,26.32,500.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,26.32,26.39,26.32,26.35,542.0,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,26.355,26.37,26.325,26.36,109.0,,,,,,,,,,,,,,,,,,#000000
