date,Open,High,Low,Close,Volume,aVWAP_peak_214,aVWAP_peak_211,aVWAP_peak_210,aVWAP_peak_197,aVWAP_peak_196,aVWAP_peak_178,aVWAP_peak_165,aVWAP_peak_162,aVWAP_valley_223,aVWAP_valley_207,aVWAP_valley_206,aVWAP_valley_187,aVWAP_valley_173,aVWAP_valley_155,aVWAP_valley_150,aVWAP_valley_139,aVWAP_valley_138,aVWAP_valley_137,aVWAP_valley_136,aVWAP_valley_111,aVWAP_valley_110,aVWAP_valley_109,aVWAP_valley_108,aVWAP_valley_107,aVWAP_valley_106,aVWAP_valley_105,aVWAP_valley_94,aVWAP_valley_80,aVWAP_valley_69,aVWAP_valley_50,aVWAP_valley_49,aVWAP_valley_48,aVWAP_valley_29,aVWAP_valley_28,aVWAP_valley_20,aVWAP_valley_14,aVWAP_valley_12,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,2.92,2.945,2.895,2.925,15942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,2.925,2.935,2.92,2.935,9418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,2.935,2.935,2.92,2.925,10082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,2.925,2.925,2.915,2.92,9063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,2.925,2.93,2.92,2.925,1523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,2.925,2.925,2.91,2.91,2232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,2.915,2.915,2.905,2.905,8598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,2.905,2.915,2.9,2.905,7311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,2.905,2.92,2.905,2.915,1385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,2.915,2.915,2.905,2.91,6201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
