date,Close,High,Low,Open,Volume,aVWAP_OB_bull_425,aVWAP_OB_bull_284,aVWAP_OB_bull_225,aVWAP_OB_bull_192,aVWAP_OB_bull_120,aVWAP_OB_bull_62,aVWAP_OB_bear_5,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-09-12 00:00:00+00:00,98.1256009169,99.0111594696,95.2213497495,97.1257767445,617793,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,97.11625460955,97.11625460955,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,617793.0,False,False,False,False
2023-09-13 00:00:00+00:00,96.173563247,99.5063104883,95.2213497495,99.5063104883,1733567,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,97.11625460955,97.36383011890001,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1733567,-67983.01960784313,False,False,False,False,661548.8431372549,False,False,False,False
2023-09-14 00:00:00+00:00,95.9450320076,98.0589459721,95.2975268293,96.2306960569,1160691,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,96.6782364007,96.6782364007,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2894258,-178817.3325643983,False,False,False,False,681123.0453671666,False,False,False,False
2023-09-15 00:00:00+00:00,95.3260932343,97.4114407938,93.9358615279,96.4401830263,2453515,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,95.67365116085,95.67365116085,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5347773,-381521.47638540226,False,False,False,False,750628.6122155131,False,False,False,False
2023-09-18 00:00:00+00:00,99.1539914942,99.4682219484,95.6974564983,95.7069786333,1226948,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.10418500750227,-30.654497076456252,False,False,False,True,True,,,95.67365116085,97.58283922334999,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4120825,-528160.8302526413,False,False,False,False,769307.8038933361,False,False,False,False
2023-09-19 00:00:00+00:00,100.4585239858,101.0869848941,98.0589459721,98.9921151996,1280008,,,,,,,99.86815161733334,,"rgba(239, 83, 80, 0.5)",,,,37.51939872142664,-16.77967256133126,False,False,False,True,True,,,99.5729654331,99.5729654331,1,-1.0,101.08698,98.058945,169.0,0,,,False,False,False,False,,,False,False,False,False,-2840817,-618853.2290662633,False,False,False,False,789335.2625641857,False,False,False,False
2023-09-20 00:00:00+00:00,99.7253195927,100.8774979247,99.2587349789,100.6584888202,812525,,,,,,,99.90142839455898,,"rgba(239, 83, 80, 0.5)",,,,45.9767645781577,-10.671827711750751,False,False,False,True,True,,,99.5729654331,100.0681164518,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3653342,-737852.7887107236,False,False,False,False,790244.6640322568,False,False,False,False
2023-09-21 00:00:00+00:00,85.53733848,95.6760552313,84.403075762,95.6760552313,5660193,,,,,,,91.6056962065447,,"rgba(239, 83, 80, 0.5)",,,,37.08838817992218,-4.075392805625988,False,False,False,True,False,,,90.03956549665,100.0681164518,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9313535,-1074154.0518985384,False,False,False,False,981223.030148639,False,False,False,False
2023-09-22 00:00:00+00:00,83.3683097736,86.5024567576,82.6618829931,85.9950234364,1932891,,,,,,,90.12331286887954,,"rgba(239, 83, 80, 0.5)",,,,30.490973948986436,-8.849287820118953,False,False,False,True,False,,,84.58216987534999,84.58216987534999,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11246426,-1473066.677314282,False,False,False,False,1018543.3426918297,False,False,False,False
2023-09-25 00:00:00+00:00,81.7564627533,83.4479071574,81.3385764888,83.0101215469,1315499,,,,,,,89.17357939270316,,"rgba(239, 83, 80, 0.5)",,,,25.639501824526313,-12.326241651424766,False,False,False,True,False,,,82.3932418231,82.3932418231,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12561925,-1907923.866439212,False,False,False,False,1030188.6625862677,False,False,False,False
