date,Close,High,Low,Open,Volume,aVWAP_peak_162,aVWAP_peak_148,aVWAP_peak_126,aVWAP_peak_106,aVWAP_peak_83,aVWAP_peak_55,aVWAP_peak_10,aVWAP_valley_171,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,9.26,9.6,8.94,9.41,542268,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,10.43,10.6,9.06,9.49,521351,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,10.32,11.07,9.998,10.42,473039,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,8.12,9.85,8.05,9.85,607899,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,8.18,8.425,7.39,7.85,674556,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,8.23,8.62,7.82,8.08,566489,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,10.41,10.5637,8.25,8.26,508382,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,8.76,10.31,8.76,10.22,348892,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,9.69,9.71,8.0891,8.76,290163,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,11.66,11.84,9.55,9.55,732205,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,13.81,14.27,11.53,11.88,1730834,,,,,,,13.203333333333333,,13.203333333333333,,#000000
2022-03-18 00:00:00+00:00,12.29,13.97,10.87,13.82,960349,,,,,,,12.908337226912229,,12.908337226912229,,#000000
2022-03-25 00:00:00+00:00,12.6,13.96,11.87,12.27,724935,,,,,,,12.887469066739888,,12.887469066739888,,#000000
2022-04-01 00:00:00+00:00,12.67,12.89,11.93,12.52,504894,,,,,,,12.83714690833217,,12.83714690833217,,#000000
2022-04-08 00:00:00+00:00,11.77,13.17,11.0601,12.75,665911,,,,,,,12.715618132322401,,12.715618132322401,,#000000
2022-04-15 00:00:00+00:00,12.17,12.37,11.415,11.67,439688,,,,,,,12.65170946197481,,12.65170946197481,,#000000
2022-04-22 00:00:00+00:00,9.68,12.13,9.64,12.12,719210,,,,,,,12.380291714105493,,12.380291714105493,,#000000
2022-04-29 00:00:00+00:00,8.37,9.505,8.23,9.5,543692,,,,,,,12.062295867798772,,12.062295867798772,,#000000
2022-05-06 00:00:00+00:00,8.23,8.6,7.87,8.35,427611,,,,,,,11.818544747776976,,11.818544747776976,,#000000
2022-05-13 00:00:00+00:00,8.03,8.25,6.77,7.86,696865,,,,,,,11.429862743753732,,11.429862743753732,,#000000
2022-05-20 00:00:00+00:00,9.55,10.19,7.9,8.03,775165,,,,,,,11.220051569067248,,11.220051569067248,,#000000
2022-05-27 00:00:00+00:00,8.81,9.9449,8.54,9.64,495940,,,,,,,11.098894391820437,,11.098894391820437,,#000000
2022-06-03 00:00:00+00:00,8.91,9.42,8.61,8.85,277216,,,,,,,11.033354209911655,,11.033354209911655,,#000000
2022-06-10 00:00:00+00:00,8.51,9.13,8.16,9.1,277657,,,,,,,10.960232971506644,,10.960232971506644,,#000000
2022-06-17 00:00:00+00:00,7.38,8.32,7.1,8.17,349616,,,,,,,10.83772595419773,,10.83772595419773,,#000000
2022-06-24 00:00:00+00:00,7.1,7.85,6.85,7.61,284715,,,,,,,10.734758214612656,,10.734758214612656,,#000000
2022-07-01 00:00:00+00:00,6.97,7.57,6.6501,7.13,240466,,,,,,,10.647475422847235,,10.647475422847235,,#000000
2022-07-08 00:00:00+00:00,6.71,6.9,6.285,6.78,236842,,,,,,,10.55559478351153,,10.55559478351153,,#000000
