date,Open,High,Low,Close,Volume,aVWAP_OB_bull_758,aVWAP_OB_bull_425,aVWAP_OB_bear_876,aVWAP_OB_bear_506,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,26.165,26.18,25.825,25.875,4481.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4481.0,False,False,False,False
2024-12-05 16:00:00+00:00,25.94,26.22,25.94,26.05,600.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,600.0,9.30232558139535,False,False,False,False,4420.829457364341,False,False,False,False
2024-12-05 17:00:00+00:00,26.07,26.21,26.07,26.18,326.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,926.0,23.514692626645036,False,False,False,False,4357.343729343188,False,False,False,False
2024-12-05 18:00:00+00:00,26.18,26.18,26.02,26.02,396.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,89.18798168211771,40.0889832086079,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,530.0,31.367178012278448,False,False,False,False,4295.927547492906,False,False,False,False
2024-12-05 19:00:00+00:00,26.02,26.06,25.93,25.97,945.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,79.42085174326525,31.736448448986607,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-415.0,24.446756647746998,False,False,False,False,4243.975182415496,False,False,False,False
2024-12-05 20:00:00+00:00,25.93,25.96,25.64,25.68,4134.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,65.79007630684558,20.159606598242405,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-4549.0,-46.45939461810954,False,False,False,False,4242.270140827659,False,False,False,False
2024-12-06 15:00:00+00:00,25.18,25.515,25.17,25.515,1225.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,54.15562871882894,10.799663235629644,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-5774.0,-135.25847377131714,False,False,False,False,4195.490758799323,False,False,False,False
2024-12-06 16:00:00+00:00,25.54,25.54,25.35,25.53,1138.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,46.28460022524077,4.979514092015393,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-4636.0,-205.0374121624595,False,False,False,False,4148.087801298558,False,False,False,False
2024-12-06 17:00:00+00:00,25.53,25.53,25.29,25.36,989.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,39.11391355028568,-0.410918974399749,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-5625.0,-289.06783988087096,False,False,False,False,4099.109695852068,False,False,False,False
2024-12-06 18:00:00+00:00,25.36,25.55,25.36,25.49,865.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,37.285965103519594,-1.141228030096869,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-4760.0,-358.3846175571365,False,False,False,False,4048.9684602574625,False,False,False,False
2024-12-06 19:00:00+00:00,25.47,25.47,25.155,25.155,1877.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,33.24042674449227,-4.408855472806906,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-6637.0,-455.72749170353745,False,False,False,False,4015.294530641068,False,False,False,False
2024-12-06 20:00:00+00:00,25.155,25.54,25.155,25.54,5279.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,36.28899758622747,-4.408855472806906,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-1358.0,-469.71621276239733,False,False,False,False,4034.886863499346,False,False,False,False
2024-12-09 15:00:00+00:00,25.825,25.825,25.005,25.09,1287.0,,,,,0.0,0.0,0.0,0.0,,#000000,,,,35.2303953429022,-4.408855472806906,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-2645.0,-503.44154279708886,False,False,False,False,3992.283966390829,False,False,False,False
2024-12-09 16:00:00+00:00,25.065,25.24,24.92,25.24,1963.0,,,,,0.0,0.0,0.0,0.0,25.133333333333333,#000000,,25.133333333333333,,36.138617003762285,-4.408855472806906,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-682.0,-506.2098909707774,False,False,False,False,3960.8221994700407,False,False,False,False
2024-12-09 17:00:00+00:00,25.24,25.34,25.18,25.34,447.0,,,,,0.0,0.0,0.0,0.0,25.161773167358227,#000000,,25.161773167358227,,37.83597120815332,-4.408855472806906,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-235.0,-502.0050864596026,False,False,False,False,3906.3443359123653,False,False,False,False
