date,Close,High,Low,Open,Volume,aVWAP_peak_133,aVWAP_peak_113,aVWAP_peak_103,aVWAP_peak_83,aVWAP_peak_57,aVWAP_valley_171,aVWAP_OB_bull_4,aVWAP_OB_bear_133,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,3.31,3.44,3.21,3.44,4830040,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4830040.0,False,False,False,False
2022-01-07 00:00:00+00:00,3.2,3.48,3.02,3.33,10829580,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-10829580,-802191.1111111111,False,False,False,False,5274450.37037037,False,False,False,False
2022-01-14 00:00:00+00:00,3.26,3.41,3.085,3.16,6662239,,,,,,,,,,,,#000000,,,,10.538641686182634,-76.34660421545658,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4167341,-1051461.4732510287,False,False,False,False,5377249.528120713,False,False,False,False
2022-01-21 00:00:00+00:00,3.08,3.27,2.97,3.2,6760272,,,,,,,,,,,,#000000,,,,12.349460298978164,-74.05848277833519,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-10927613,-1783028.2530102115,False,False,False,False,5479695.637148809,False,False,False,False
2022-01-28 00:00:00+00:00,2.99,3.11,2.705,3.02,12226094,,,,,,,2.935,,,,,#000000,,2.935,,12.557171581658723,-72.92782162096873,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-23153707,-3366041.4935279735,False,False,False,False,5979428.8492118595,False,False,False,False
2022-02-04 00:00:00+00:00,2.92,3.15,2.76,2.94,9597871,,,,,,,2.938664882084137,,,,,#000000,,2.938664882084137,,12.115249863260718,-72.13282441674417,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-32751578,-5542747.90141479,False,False,False,False,6247461.601122092,False,False,False,False
2022-02-11 00:00:00+00:00,3.36,3.44,2.88,2.88,12568390,,,,,,,3.0439126544256707,,,,,#000000,,3.0439126544256707,,24.90683727210839,-58.55863473355988,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-20183188,-6627224.945754435,False,False,False,False,6715678.519557493,False,False,False,False
2022-02-18 00:00:00+00:00,3.75,3.75,3.1917,3.35,19272061,,,,,,,3.230651439454778,,,,,#000000,,3.230651439454778,,38.092302049970144,-44.97217219435989,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-911127,-6203810.283105958,False,False,False,False,7645780.9255161965,False,False,False,False
2022-02-25 00:00:00+00:00,3.72,4.1,3.26,3.71,26305976,,,,,,,3.382849002722991,,,,,#000000,,3.5380911680281617,,46.97506549037162,-35.75153855851313,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-27217103,-7760350.484357368,False,False,False,False,9028017.597700182,False,False,False,False
2022-03-04 00:00:00+00:00,3.52,3.97,3.46,3.73,28308749,,,,,,,3.452693577191997,,,,,#000000,,3.5617828534728853,,50.186555735381994,-31.945641629625143,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.3428281626931029,0.3428281626931029,False,False,False,False,-55525852,-11298535.781812377,False,False,False,False,10456219.923796464,False,False,False,False
