date,Close,High,Low,Open,Volume,aVWAP_peak_37,aVWAP_valley_25,aVWAP_valley_24,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2025-05-08 00:00:00+00:00,16.9,19.45,16.7,18.5,3693277,,,,,,,#000000,,,
2025-05-09 00:00:00+00:00,17.25,18.06,16.11,17.59,824850,,,,,,,#000000,,,
2025-05-12 00:00:00+00:00,17.25,17.56,16.81,17.56,143210,,,,,,,#000000,,,
2025-05-13 00:00:00+00:00,17.41,17.48,16.93,17.2,86331,,,,,,,#000000,,,
2025-05-14 00:00:00+00:00,17.25,17.325,17.0,17.24,75658,,,,,,,#000000,,,
2025-05-15 00:00:00+00:00,16.7,17.25,16.445,17.25,188892,,,,,,,#000000,,,
2025-05-16 00:00:00+00:00,16.43,16.72,16.3927,16.54,51798,,,,,,,#000000,,,
2025-05-19 00:00:00+00:00,16.43,16.44,16.02,16.34,106654,,,,,,,#000000,,,
2025-05-20 00:00:00+00:00,16.89,16.95,16.15,16.59,103077,,,,,,,#000000,,,
2025-05-21 00:00:00+00:00,16.67,16.9,16.34,16.61,31730,,,,,,,#000000,,,
2025-05-22 00:00:00+00:00,16.54,16.8425,16.5,16.82,45633,,,,,,,#000000,,,
2025-05-23 00:00:00+00:00,16.54,16.674,16.3,16.3,63381,,,,,,,#000000,,,
2025-05-27 00:00:00+00:00,16.49,16.65,16.39,16.61,76035,,,,,,,#000000,,,
2025-05-28 00:00:00+00:00,16.8,16.8,16.3,16.3,68582,,,,,,,#000000,,,
2025-05-29 00:00:00+00:00,16.75,16.9,16.58,16.74,25499,,,,,,,#000000,,,
2025-05-30 00:00:00+00:00,16.57,16.95,16.46,16.46,105901,,,,,,,#000000,,,
2025-06-02 00:00:00+00:00,16.6,16.63,16.285,16.48,353650,,,,,,,#000000,,,
2025-06-03 00:00:00+00:00,16.68,16.73,16.305,16.54,177541,,,,,,,#000000,,,
2025-06-04 00:00:00+00:00,16.49,16.96,16.34,16.65,107581,,,,,,,#000000,,,
2025-06-05 00:00:00+00:00,16.57,16.7,16.319,16.5,87731,,,,,,,#000000,,,
2025-06-06 00:00:00+00:00,17.0,17.45,16.68,16.87,90634,,,,,,,#000000,,,
2025-06-09 00:00:00+00:00,17.0,17.4,16.5977,17.21,181805,,,,,,,#000000,,,
2025-06-10 00:00:00+00:00,16.41,17.53,16.39,17.53,134770,,,,,,,#000000,,,
2025-06-11 00:00:00+00:00,16.11,17.03,16.09,17.03,107600,,,,,,,#000000,,,
2025-06-12 00:00:00+00:00,16.0,16.105,15.775,16.0,253614,,,15.959999999999999,15.959999999999999,,15.959999999999999,#000000,,15.959999999999999,
2025-06-13 00:00:00+00:00,16.46,16.62,15.775,15.93,191483,,16.285,16.099816657941975,16.192408328970988,,16.192408328970988,#000000,,16.192408328970988,
2025-06-16 00:00:00+00:00,16.54,16.68,16.14,16.62,198191,,16.370615544446554,16.208731830325867,16.289673687386212,,16.289673687386212,#000000,,16.289673687386212,
2025-06-17 00:00:00+00:00,16.49,16.77,16.16,16.59,146512,,16.39868302230942,16.257816782729805,16.328249902519612,,16.328249902519612,#000000,,16.328249902519612,
2025-06-18 00:00:00+00:00,16.72,16.85,16.33,16.33,135403,,16.445992248731493,16.312773443593823,16.379382846162656,,16.379382846162656,#000000,,16.379382846162656,
2025-06-20 00:00:00+00:00,16.63,16.94,16.42,16.87,618329,,16.55017584451105,16.45320548262038,16.501690663565714,,16.501690663565714,#000000,,16.501690663565714,
2025-06-23 00:00:00+00:00,17.01,17.01,16.425,16.55,175846,,16.58194649002159,16.4902073046183,16.536076897319944,,16.536076897319944,#000000,,16.536076897319944,
2025-06-24 00:00:00+00:00,17.86,17.99,16.95,17.04,407739,,16.803510117144196,16.702939262391304,16.753224689767748,,16.753224689767748,#000000,,16.753224689767748,
2025-06-25 00:00:00+00:00,17.65,18.0,17.3019,17.85,148455,,16.86570709505341,16.76476544205149,16.81523626855245,,16.81523626855245,#000000,,16.81523626855245,
2025-06-26 00:00:00+00:00,17.98,18.0,17.59,17.64,100868,,16.912793436595052,16.811111191460054,16.861952314027555,,16.861952314027555,#000000,,16.861952314027555,
