date,Open,High,Low,Close,Volume,aVWAP_peak_222,aVWAP_peak_203,aVWAP_peak_168,aVWAP_peak_122,aVWAP_peak_109,aVWAP_peak_91,aVWAP_peak_64,aVWAP_peak_63,aVWAP_peak_21,aVWAP_valley_216,aVWAP_valley_206,aVWAP_valley_205,aVWAP_valley_179,aVWAP_valley_130,aVWAP_valley_116,aVWAP_valley_101,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,105.875,106.31,103.31,103.64,11582.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,103.735,104.59,103.59,104.28,4073.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,104.275,104.69,104.275,104.65,2861.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,104.6,104.94,104.35,104.94,2056.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,104.945,105.11,104.8,104.925,7965.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,104.925,105.235,104.86,105.22,3833.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,105.165,105.37,105.105,105.295,1070.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,105.155,105.195,104.925,105.04,1402.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,105.0,105.02,104.74,104.75,1751.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,104.765,105.08,104.765,104.85,4138.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,104.83,105.41,104.825,105.385,1739.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,105.4,105.49,105.08,105.205,1432.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,105.2,105.245,105.04,105.125,920.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,105.125,105.29,105.125,105.19,3281.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,105.15,105.55,105.15,105.55,1466.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,105.64,105.79,105.5,105.76,1629.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,105.75,105.85,105.75,105.83,1418.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,105.95,106.16,105.95,106.11,1104.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,106.155,106.41,105.88,106.395,3515.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,106.415,106.525,106.25,106.34,4552.0,,,,,,,,,,,,,,,,,,,#000000
