date,Close,High,Low,Open,Volume,aVWAP_peak_16,aVWAP_peak_15,Peaks_avg,color
2021-12-31 00:00:00+00:00,9.68,9.75,9.68,9.7,11213,,,,#000000
2022-01-07 00:00:00+00:00,9.75,9.75,9.7,9.705,16264,,,,#000000
2022-01-14 00:00:00+00:00,9.7,9.73,9.7,9.71,213466,,,,#000000
2022-01-21 00:00:00+00:00,9.67,9.73,9.65,9.7,9075,,,,#000000
2022-01-28 00:00:00+00:00,9.67,9.73,9.65,9.67,123902,,,,#000000
2022-02-04 00:00:00+00:00,9.67,9.68,9.66,9.66,20763,,,,#000000
2022-02-11 00:00:00+00:00,9.7,9.7,9.67,9.67,262414,,,,#000000
2022-02-18 00:00:00+00:00,9.68,9.7,9.68,9.7,2199,,,,#000000
2022-02-25 00:00:00+00:00,9.69,9.71,9.6899,9.69,8660,,,,#000000
2022-03-04 00:00:00+00:00,9.735,9.75,9.69,9.7069,31675,,,,#000000
2022-03-11 00:00:00+00:00,9.75,9.75,9.725,9.74,610404,,,,#000000
2022-03-18 00:00:00+00:00,9.7451,9.76,9.74,9.7401,160572,,,,#000000
2022-03-25 00:00:00+00:00,9.75,9.755,9.7451,9.7451,518,,,,#000000
2022-04-01 00:00:00+00:00,9.74,9.7501,9.72,9.75,13852,,,,#000000
2022-04-08 00:00:00+00:00,9.77,9.77,9.74,9.74,93826,,,,#000000
2022-04-15 00:00:00+00:00,9.79,9.8,9.75,9.75,14688,,9.78,9.78,#000000
2022-04-22 00:00:00+00:00,9.77,9.8,9.76,9.772,198282,9.776666666666667,9.776896558200686,9.776781612433677,#000000
2022-04-29 00:00:00+00:00,9.79,9.79,9.77,9.78,35254,9.77767304969398,9.777810740836234,9.777741895265107,#000000
2022-05-06 00:00:00+00:00,9.79,9.79,9.77,9.79,14981,9.778014260593842,9.778125073611823,9.778069667102834,#000000
2022-05-13 00:00:00+00:00,9.74,9.79,9.74,9.78,15387,9.776769582878623,9.776939897771653,9.776854740325138,#000000
2022-05-20 00:00:00+00:00,9.73,9.75,9.73,9.74,189369,9.760015332922984,9.760642596284734,9.76032896460386,#000000
2022-05-27 00:00:00+00:00,9.75,9.77,9.725,9.74,182806,9.756657983258892,9.757184819349066,9.756921401303979,#000000
2022-06-03 00:00:00+00:00,9.75,9.75,9.75,9.75,46811,9.756201589323805,9.756702681755064,9.756452135539433,#000000
2022-06-10 00:00:00+00:00,9.78,9.78,9.75,9.75,715543,9.763261889081088,9.763435865246736,9.763348877163912,#000000
2022-06-17 00:00:00+00:00,9.76,9.78,9.75,9.78,41542,9.763263950184319,9.763432937159099,9.76334844367171,#000000
2022-06-24 00:00:00+00:00,9.7712,9.7712,9.75,9.76,523,9.763264265830289,9.763433188884445,9.763348727357368,#000000
2022-07-01 00:00:00+00:00,9.75,9.7712,9.75,9.7712,215,9.763263340952244,9.763432248386069,9.763347794669157,#000000
2022-07-08 00:00:00+00:00,9.76,9.77,9.75,9.77,151931,9.762952033055305,9.763107819500473,9.763029926277888,#000000
2022-07-15 00:00:00+00:00,9.79,9.8,9.76,9.77,103250,9.764192894367218,9.764328622889753,9.764260758628485,#000000
2022-07-22 00:00:00+00:00,9.79,9.79,9.79,9.79,6024,9.764284239546205,9.764418710175777,9.764351474860991,#000000
2022-07-29 00:00:00+00:00,9.82,9.83,9.79,9.79,7760,9.764506866829114,9.764638835993441,9.764572851411277,#000000
2022-08-05 00:00:00+00:00,9.83,9.83,9.81,9.81,369649,9.774964646926627,9.774999966284865,9.774982306605747,#000000
2022-08-12 00:00:00+00:00,9.83,9.8499,9.82,9.8499,8885,9.775212854298317,9.77524629078891,9.775229572543614,#000000
2022-08-19 00:00:00+00:00,9.85,9.85,9.81,9.83,170769,9.779858491461415,9.77985940561269,9.779858948537052,#000000
2022-08-26 00:00:00+00:00,9.83,9.84,9.765,9.84,213656,9.782606977179963,9.782591582617203,9.782599279898584,#000000
2022-09-02 00:00:00+00:00,9.82,9.82,9.8,9.8,7058,9.7826944341542,9.782678568166958,9.78268650116058,#000000
2022-09-09 00:00:00+00:00,9.83,9.83,9.76,9.82,218523,9.784635894838742,9.78461079554544,9.784623345192092,#000000
2022-09-16 00:00:00+00:00,9.82,9.82,9.78,9.82,25411,9.784841438230634,9.78481546934364,9.784828453787137,#000000
2022-09-23 00:00:00+00:00,9.82,9.82,9.8,9.82,23509,9.785085261424799,9.785058216882598,9.785071739153699,#000000
2022-09-30 00:00:00+00:00,9.82,9.84,9.8,9.8,289705,9.788416014558539,9.788375505574088,9.788395760066313,#000000
2022-10-07 00:00:00+00:00,9.84,9.84,9.82,9.82,8424,9.788540267536476,9.78849927364945,9.788519770592963,#000000
2022-10-14 00:00:00+00:00,9.85,9.87,9.83,9.83,68474,9.78989182301932,9.789845380828524,9.78986860192392,#000000
2022-10-21 00:00:00+00:00,9.89,9.9,9.85,9.86,330623,9.798541267676702,9.798462536816446,9.798501902246574,#000000
2022-10-28 00:00:00+00:00,9.9,9.91,9.88,9.88,189833,9.80366686732539,9.80357160015548,9.803619233740434,#000000
2022-11-04 00:00:00+00:00,9.92,9.92,9.895,9.9,153314,9.808038572446831,9.807930258665227,9.807984415556028,#000000
2022-11-11 00:00:00+00:00,9.92,9.925,9.9,9.92,1039816,9.831078280291903,9.830923336992278,9.831000808642091,#000000
2022-11-18 00:00:00+00:00,9.93,9.94,9.92,9.93,90267,9.832894080228394,9.83273656525857,9.832815322743482,#000000
2022-11-25 00:00:00+00:00,9.948,9.98,9.92,9.92,87096,9.834920458123614,9.834759746639259,9.834840102381436,#000000
2022-12-02 00:00:00+00:00,9.96,9.97,9.94,9.97,80183,9.83684026541076,9.836676551354127,9.836758408382444,#000000
2022-12-09 00:00:00+00:00,9.98,9.98,9.9579,9.96,212088,9.842277360414775,9.842105148382359,9.842191254398568,#000000
2022-12-16 00:00:00+00:00,9.98,9.99,9.96,9.97,47520,9.843472271545172,9.84329831160391,9.843385291574542,#000000
2022-12-23 00:00:00+00:00,9.96,9.97,9.96,9.97,6723,9.843622859322876,9.843448705136073,9.843535782229473,#000000
2022-12-30 00:00:00+00:00,10.03,10.03,9.97,9.97,34360,9.844684348621614,9.844508415403581,9.844596382012597,#000000
2023-01-06 00:00:00+00:00,10.0389,10.06,10.03,10.03,29139,9.84575139670634,9.845573521044997,9.845662458875669,#000000
2023-01-13 00:00:00+00:00,10.07,10.07,10.03,10.03,853339,9.8744656627487,9.874244817406872,9.874355240077787,#000000
2023-01-20 00:00:00+00:00,10.077,10.09,10.06,10.06,924146,9.900318588585282,9.9000733728456,9.900195980715441,#000000
2023-01-27 00:00:00+00:00,10.08,10.085,10.08,10.08,52807,9.90164039045806,9.901394284112223,9.901517337285142,#000000
2023-02-03 00:00:00+00:00,10.095,10.095,10.07,10.09,36167,9.902559453285068,9.902312716681402,9.902436084983236,#000000
2023-02-10 00:00:00+00:00,10.11,10.12,10.09,10.095,103741,9.905426692898562,9.90517772410214,9.905302208500352,#000000
2023-02-17 00:00:00+00:00,10.11,10.13,10.07,10.09,759049,9.923872385790094,9.923613372326761,9.923742879058427,#000000
2023-02-24 00:00:00+00:00,10.11,10.12,10.1035,10.11,3109,9.92394385916181,9.923684815738229,9.923814337450018,#000000
2023-03-03 00:00:00+00:00,10.14,10.16,10.12,10.15,188826,9.928838001422845,9.928576207167373,9.928707104295109,#000000
2023-03-10 00:00:00+00:00,10.1599,10.1599,10.14,10.14,745291,9.947256830384047,9.94698674413556,9.947121787259803,#000000
2023-03-17 00:00:00+00:00,10.15,10.1599,10.14,10.1599,593129,9.959684912569621,9.959412519819308,9.959548716194465,#000000
