date,Open,High,Low,Close,Volume,aVWAP_peak_595,aVWAP_valley_610,aVWAP_valley_556,aVWAP_valley_555,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,4.815,4.85,4.8,4.845,4009.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4009.0,False,False,False,False
2023-10-31 16:00:00+00:00,4.815,4.835,4.795,4.835,3920.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3920.0,-60.775193798449614,False,False,False,False,4007.6201550387595,False,False,False,False
2023-11-01 16:00:00+00:00,4.835,4.855,4.785,4.85,7061.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3141.0,-11.135268313202332,False,False,False,False,4054.959377441259,False,False,False,False
2023-11-02 16:00:00+00:00,4.94,4.975,4.93,4.97,24113.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,27254.0,411.5800071645217,False,False,False,False,4365.936751434418,False,False,False,False
2023-11-03 16:00:00+00:00,5.045,5.065,5.04,5.06,3680.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,30934.0,884.7958210069321,False,False,False,False,4355.302073117605,False,False,False,False
2023-11-06 16:00:00+00:00,5.06,5.065,5.04,5.055,6237.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24697.0,1253.9772811463595,False,False,False,False,4384.475684387099,False,False,False,False
2023-11-06 20:00:00+00:00,5.055,5.055,5.055,5.055,250.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24697.0,1617.4349977177337,False,False,False,False,4320.375286179547,False,False,False,False
2023-11-07 16:00:00+00:00,5.005,5.005,4.965,4.985,994.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,23703.0,1959.846858218234,False,False,False,False,4268.803576316299,False,False,False,False
2023-11-07 20:00:00+00:00,4.985,5.0,4.985,5.0,585.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24288.0,2306.0197751450833,False,False,False,False,4211.690342574961,False,False,False,False
2023-11-08 16:00:00+00:00,4.975,4.985,4.955,4.975,2383.0,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,21905.0,2609.879933669966,False,False,False,False,4183.338554317985,False,False,False,False
