date,Close,High,Low,Open,Volume,aVWAP_peak_164,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_122,aVWAP_valley_107,aVWAP_valley_91,aVWAP_valley_74,aVWAP_valley_52,aVWAP_valley_28,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,39.3023152421,39.5711916615,38.0784639536,38.0784639536,1677226,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,38.5698587891,40.2572901111,37.8652171382,39.4413892521,2179595,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,37.7539579301,38.9592660173,37.1327606852,38.0413775509,2917293,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,36.1221562121,38.9592660173,35.9830822021,37.8559455375,2812875,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,36.0757982088,37.2069334906,34.7221445109,35.4360577625,4120260,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,37.5499827154,38.180451561,35.7698353866,35.8069217893,2578132,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,36.0757982088,38.8572784099,36.0479834068,37.6612419234,1639586,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,35.1949961451,37.1791186885,34.9539345276,36.1592426148,2449284,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,36.2334154202,38.1062787556,34.4161816888,34.944662927,5033592,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,33.8691572492,36.9566002725,33.7208116385,35.6122181752,4766463,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,34.6479717055,35.2228109471,32.1075531218,33.8598856485,4161615,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,36.034439359,36.0903211466,33.3174970093,34.6665149069,2914522,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,35.8015985774,36.2207119843,34.2275948938,36.1648301967,2291524,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,34.1903403688,37.1707023731,34.0273518217,35.717775896,3273410,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,33.0447637234,35.7457167898,32.9702546732,34.1251449499,3044851,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,33.2124090861,33.4452498677,32.2065369096,32.7374138917,1856364,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,32.9516274107,35.1496443889,32.7467275229,33.0913318797,2294282,,,,,,,,,,,,#000000
