date,Open,High,Low,Close,Volume,aVWAP_peak_221,aVWAP_peak_179,aVWAP_peak_178,aVWAP_peak_177,aVWAP_peak_149,aVWAP_peak_148,aVWAP_peak_147,aVWAP_valley_205,aVWAP_valley_204,aVWAP_valley_203,aVWAP_valley_202,aVWAP_valley_201,aVWAP_valley_200,aVWAP_valley_199,aVWAP_valley_198,aVWAP_valley_197,aVWAP_valley_196,aVWAP_valley_195,aVWAP_valley_194,aVWAP_valley_193,aVWAP_valley_172,aVWAP_valley_171,aVWAP_valley_114,aVWAP_valley_113,aVWAP_valley_112,aVWAP_valley_68,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,76.33,76.33,76.33,76.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,76.33,76.33,76.33,76.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,76.33,76.33,76.33,76.33,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,76.33,76.33,76.33,76.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,76.33,76.33,76.11,76.11,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,76.11,76.38,76.11,76.38,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,76.38,76.38,76.38,76.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,76.38,76.38,76.38,76.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,76.38,76.38,75.56,75.63,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,75.63,75.63,75.63,75.63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,75.63,75.63,75.63,75.63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,75.63,75.89,75.63,75.89,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,75.815,75.895,75.815,75.895,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,76.01,76.01,76.01,76.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,76.01,76.01,75.79,75.79,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,75.785,75.92,75.785,75.92,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,75.92,75.92,75.92,75.92,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
