date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-05-09 00:00:00+00:00,17.25,19.45,16.11,18.5,4518127,,0,,,0.0,0.0,0.0,0.0
2025-05-16 00:00:00+00:00,16.43,17.56,16.3927,17.56,545889,,0,,,0.0,0.0,0.0,0.0
2025-05-23 00:00:00+00:00,16.54,16.95,16.02,16.34,350475,,0,,,0.0,0.0,0.0,0.0
2025-05-30 00:00:00+00:00,16.57,16.95,16.3,16.61,276017,,0,,,0.0,0.0,0.0,0.0
2025-06-06 00:00:00+00:00,17.0,17.45,16.285,16.48,817137,,0,,,0.0,0.0,0.0,0.0
2025-06-13 00:00:00+00:00,16.46,17.53,15.775,17.21,869272,16.588333333333335,0,,,0.0,0.0,0.0,0.0
2025-06-20 00:00:00+00:00,16.63,16.94,16.14,16.62,1098435,16.578099098764874,0,,,0.0,0.0,0.0,0.0
2025-06-27 00:00:00+00:00,17.82,18.0,16.425,16.55,945731,16.84976546895226,0,,,0.0,0.0,0.0,0.0
2025-07-04 00:00:00+00:00,17.81,19.17,17.615,17.92,1182083,17.718666782769112,0,,,0.0,0.0,0.0,0.0
2025-07-11 00:00:00+00:00,17.34,18.48,17.03,17.81,608128,17.644285758613112,0,,,0.0,0.0,0.0,0.0
2025-07-18 00:00:00+00:00,17.66,18.43,17.28,17.28,483760,17.645284614789716,0,,,0.0,0.0,0.0,0.0
2025-07-25 00:00:00+00:00,17.33,17.95,16.8,17.8,375957,17.60386864327721,0,,,0.0,0.0,0.0,0.0
2025-08-01 00:00:00+00:00,18.48,18.865,16.9605,17.44,318980,17.637003600537653,0,,,0.0,0.0,0.0,0.0
2025-08-08 00:00:00+00:00,17.57,19.0,17.15,18.595,246946,17.64806053330626,0,,,0.0,0.0,0.0,0.0
2025-08-15 00:00:00+00:00,17.77,18.06,17.02,17.67,120410,17.64509794702248,0,,,0.0,0.0,0.0,0.0
