date,Open,High,Low,Close,Volume,aVWAP_peak_873,aVWAP_peak_858,aVWAP_peak_833,aVWAP_peak_792,aVWAP_peak_776,aVWAP_peak_738,aVWAP_peak_737,aVWAP_peak_702,aVWAP_peak_666,aVWAP_peak_602,aVWAP_peak_562,aVWAP_valley_879,aVWAP_valley_823,aVWAP_valley_785,aVWAP_valley_784,aVWAP_valley_782,aVWAP_valley_768,aVWAP_valley_767,aVWAP_valley_765,aVWAP_valley_761,aVWAP_valley_746,aVWAP_valley_714,aVWAP_valley_696,aVWAP_valley_677,aVWAP_valley_643,aVWAP_valley_599,aVWAP_valley_595,aVWAP_valley_583,aVWAP_valley_493,aVWAP_valley_492,aVWAP_valley_491,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,3.415,3.415,3.355,3.405,3258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,3.405,3.44,3.385,3.435,7423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,3.435,3.465,3.435,3.435,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,3.435,3.455,3.43,3.455,3650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,3.455,3.465,3.425,3.43,4429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,3.425,3.435,3.4,3.425,33774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,3.435,3.46,3.395,3.405,5253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,3.405,3.41,3.375,3.385,799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,3.385,3.43,3.385,3.425,7853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,3.425,3.435,3.415,3.425,6585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,3.425,3.435,3.395,3.405,3056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,3.405,3.41,3.365,3.375,17224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,3.385,3.385,3.335,3.36,1773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,3.355,3.365,3.33,3.345,1747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 17:00:00+00:00,3.345,3.36,3.335,3.355,2257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 18:00:00+00:00,3.355,3.37,3.345,3.365,3340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
