date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_95,aVWAP_OB_bull_63,aVWAP_OB_bull_41,aVWAP_OB_bear_153,aVWAP_OB_bear_123,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,47.4126265768,47.6680366679,46.4846365792,46.6463963035,2199199,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2199199.0,False,False,False,False
2022-01-07 00:00:00+00:00,47.7531733649,47.9745287772,46.9018063946,47.693577677,3682459,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,3682459,272774.74074074073,False,False,False,False,2309070.111111111,False,False,False,False
2022-01-14 00:00:00+00:00,48.9536007931,49.2686065721,47.3232330449,47.9149330893,2968061,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,6650520,745200.3155006858,False,False,False,False,2357884.2510288064,False,False,False,False
2022-01-21 00:00:00+00:00,47.60844098,49.5155029935,47.3700582283,48.9365734537,3296597,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,89.17808219188682,39.685359589142124,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,3353923,938439.0328710054,False,False,False,False,2427418.528730376,False,False,False,False
2022-01-28 00:00:00+00:00,47.5999273103,48.0596654742,45.9227343788,46.9018063946,4938518,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,80.72351114834932,32.007554611211916,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-1584595,751547.6230287086,False,False,False,False,2613425.8969725706,False,False,False,False
2022-02-04 00:00:00+00:00,48.6300813444,49.5155029935,47.3955992374,47.4807359344,3839343,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,77.39568412944601,29.410367823693065,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,2254748,862895.7991006561,False,False,False,False,2704234.571270899,False,False,False,False
2022-02-11 00:00:00+00:00,46.5697732762,49.7964540937,46.2207128184,48.6556223535,4787572,,,,,,,,0.0,0.0,0.0,0.0,47.52898006276667,#000000,,47.52898006276667,,69.10070032920002,22.032128383514717,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-2532824,611360.9991672741,False,False,False,False,2858555.8622878697,False,False,False,False
2022-02-18 00:00:00+00:00,45.1479904358,46.5231183662,45.1309630964,46.3399041942,4268645,,,,,,,,0.0,0.0,0.0,0.0,46.620081453802236,#000000,,46.620081453802236,,60.653863323044156,14.637315699350538,False,False,False,True,False,,,,1,,,False,False,False,False,,,False,False,False,False,-6801469,62262.48071043898,False,False,False,False,2963006.909525805,False,False,False,False
2022-02-25 00:00:00+00:00,45.1394767661,46.1100351122,43.4282291557,45.1309630964,7584975,,,,,,,,0.0,0.0,0.0,0.0,45.36263756508911,#000000,,45.36263756508911,,54.074183188451435,9.10927274921194,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-14386444,-1008012.0734162601,False,False,False,False,3305374.9162275973,False,False,False,False
2022-03-04 00:00:00+00:00,44.7833689187,45.4284145628,43.6394879765,44.5775745657,4961065,,,,,,,,0.0,0.0,0.0,0.0,45.16858449368327,#000000,,45.16858449368327,,48.53964008173903,4.560647795587485,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-19347509,-2366493.3272372778,False,False,False,False,3428018.626136664,False,False,False,False
