date,Close,High,Low,Open,Volume,aVWAP_peak_150,aVWAP_peak_129,aVWAP_peak_113,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_124,aVWAP_valley_93,aVWAP_valley_52,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,5.05,6.03,4.94,5.84,31650272,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,4.29,5.39,4.2014,5.13,31649640,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,4.56,5.11,3.99,4.035,30044477,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,3.58,4.54,3.49,4.32,27184597,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,3.35,3.905,2.935,3.12,45498568,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,3.81,4.01,3.31,3.34,38828810,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,3.9,4.62,3.85,4.14,46294096,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,3.45,4.2276,3.36,4.1,31709143,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,3.29,3.51,2.75,3.27,23390403,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,3.44,4.27,3.26,3.28,36281309,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,3.25,3.73,3.18,3.45,23960502,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,3.88,3.99,3.085,3.19,21562224,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,3.73,4.065,3.61,3.83,25325563,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,3.8,4.38,3.73,4.07,32961089,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,3.18,3.87,3.1503,3.8,23517926,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,3.14,3.425,2.99,3.05,15314956,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,2.86,3.35,2.85,3.11,15003654,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,2.88,3.14,2.72,2.78,25682333,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,2.71,3.21,2.64,2.86,24456858,,,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,2.03,2.5277,1.675,2.48,39220214,,,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,1.82,2.04,1.69,2.02,24185983,,,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,1.84,1.885,1.61,1.82,21373429,,,,,,,,,,,#000000
