date,Open,High,Low,Close,Volume,aVWAP_OB_bull_65,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_100,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-27 13:30:00+00:00,21.075,21.075,20.465,20.545,2163.0,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2163.0,False,False,False,False
2025-06-27 13:35:00+00:00,20.49,20.49,20.305,20.31,6479.0,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6479.0,-100.44961240310077,False,False,False,False,2229.9147286821703,False,False,False,False
2025-06-27 13:40:00+00:00,20.3,20.54,20.275,20.46,3462.0,,,"rgba(239, 83, 80, 0.5)",,,,7.3189522342064794,-64.63790446841296,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3017.0,-145.66744786971935,False,False,False,False,2249.016825911904,False,False,False,False
2025-06-27 13:45:00+00:00,20.37,20.395,20.24,20.26,1543.0,,,"rgba(239, 83, 80, 0.5)",,,,10.660279692689071,-61.17724826665865,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4560.0,-214.10671224383225,False,False,False,False,2238.0708286109443,False,False,False,False
2025-06-27 13:50:00+00:00,20.26,20.41,20.26,20.34,338.0,,,"rgba(239, 83, 80, 0.5)",,,,15.183724321934701,-56.47447541464682,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4222.0,-276.2445926741604,False,False,False,False,2208.61236615186,False,False,False,False
2025-06-27 13:55:00+00:00,20.41,20.455,20.34,20.34,2749.0,,,"rgba(239, 83, 80, 0.5)",,,,18.88472447313567,-52.522667410175444,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4222.0,-337.4190951133207,False,False,False,False,2216.9904690022186,False,False,False,False
2025-06-27 14:00:00+00:00,20.52,20.54,20.46,20.46,279.0,,,"rgba(239, 83, 80, 0.5)",,,,24.037260368479703,-47.1074793117096,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3943.0,-393.3195742588506,False,False,False,False,2186.944105141719,False,False,False,False
2025-06-27 14:05:00+00:00,20.475,20.71,20.47,20.68,1277.0,,,"rgba(239, 83, 80, 0.5)",,,,30.744850464730483,-40.17692123701577,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2666.0,-428.55492969669785,False,False,False,False,2172.836444596886,False,False,False,False
2025-06-27 14:10:00+00:00,20.62,20.68,20.6,20.61,901.0,,,#000000,,,,35.34418602317402,-35.32574396576921,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3567.0,-477.2129928021754,False,False,False,False,2153.1180501070116,False,False,False,False
2025-06-27 14:15:00+00:00,20.615,20.63,20.435,20.565,5613.0,,,#000000,,,,38.581249030904466,-31.7751017610108,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9180.0,-612.1399231463278,False,False,False,False,2206.759630725507,False,False,False,False
