date,Open,High,Low,Close,Volume,aVWAP_peak_890,aVWAP_valley_847,aVWAP_valley_828,aVWAP_valley_812,aVWAP_valley_790,aVWAP_valley_774,aVWAP_valley_738,aVWAP_valley_720,aVWAP_valley_685,aVWAP_valley_582,aVWAP_valley_544,aVWAP_valley_527,aVWAP_valley_492,aVWAP_valley_480,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,79.0,79.55,78.845,79.44,21118.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,79.44,79.44,79.14,79.25,12582.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,79.25,79.375,79.195,79.28,10932.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,79.28,79.335,79.19,79.28,5821.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,79.28,79.325,79.15,79.15,9142.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,79.16,79.195,78.835,79.0,27922.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,79.255,79.255,78.515,78.6,15021.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,78.595,78.69,78.27,78.64,15538.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,78.64,78.72,78.5,78.59,7247.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,78.59,78.635,78.48,78.63,8299.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,78.62,78.65,78.325,78.48,8208.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,78.485,78.71,78.4,78.495,31840.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,77.935,78.22,77.745,78.17,11589.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,78.22,78.45,77.995,78.425,13048.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 17:00:00+00:00,78.405,78.5,78.17,78.22,11793.0,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
