date,Close,High,Low,Open,Volume,aVWAP_OB_bear_786,aVWAP_OB_bear_647,aVWAP_OB_bear_501,aVWAP_OB_bear_360,aVWAP_OB_bear_134,aVWAP_OB_bear_96,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,20.19,20.97,19.335,20.95,953879,,,,,,,,#000000,,,,,,False,False,False,False,False,,,20.1525,20.1525,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,953879.0,False,False,False,False
2022-01-04 00:00:00+00:00,20.05,20.79,19.7269,20.3,867813,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,20.1525,20.25845,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-867813,-34031.882352941175,False,False,False,False,950503.8627450981,False,False,False,False
2022-01-05 00:00:00+00:00,19.77,20.08,19.15,19.85,1843893,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,19.615,20.25845,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2711706,-139038.71049596308,False,False,False,False,985538.7308727413,False,False,False,False
2022-01-06 00:00:00+00:00,19.86,20.175,19.56,19.56,880587,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,6.518225893338088,-44.02495959777342,False,False,False,True,True,,,19.615,20.25845,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1831119,-205394.80028043513,False,False,False,False,981422.9767208692,False,False,False,False
2022-01-07 00:00:00+00:00,18.29,20.03,17.9,19.62,2477614,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.717070548554482,-43.31085735419437,False,False,False,True,False,,,18.965,20.25845,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4308733,-366310.02379884943,False,False,False,False,1040097.1344965214,False,False,False,False
2022-01-10 00:00:00+00:00,17.77,18.26,17.55,18.09,1331332,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.87655184070432,-43.81049691816147,False,False,False,True,False,,,17.905,17.905,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5640065,-573123.9444341887,False,False,False,False,1051518.109614305,False,False,False,False
2022-01-11 00:00:00+00:00,17.88,18.28,17.83,17.9,898428,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.910741339931024,-43.81049691816147,False,False,False,True,True,,,17.905,18.055,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4741637,-736595.0446524557,False,False,False,False,1045514.5759039401,False,False,False,False
2022-01-12 00:00:00+00:00,19.02,19.33,17.89,18.15,1811222,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.653159749334712,-35.07924418836749,False,False,False,True,True,,,17.905,18.61,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2930415,-822627.1997641241,False,False,False,False,1075542.3180253543,False,False,False,False
2022-01-13 00:00:00+00:00,19.68,19.95,19.0,19.25,996201,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,29.14359977452841,-25.25725980478974,False,False,False,True,True,,,19.475,19.475,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1934214,-866218.8389890605,False,False,False,False,1072430.893789066,False,False,False,False
2022-01-14 00:00:00+00:00,19.95,20.74,19.26,19.36,991616,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.04041693016447,-18.138247730486704,False,False,False,True,True,,,19.475,20.0,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-942598,-869214.1002051758,False,False,False,False,1069261.6822679262,False,False,False,False
