date,Open,High,Low,Close,Volume,aVWAP_peak_221,aVWAP_peak_220,aVWAP_peak_200,aVWAP_peak_199,aVWAP_peak_198,aVWAP_peak_187,aVWAP_peak_153,aVWAP_peak_109,aVWAP_valley_216,aVWAP_valley_215,aVWAP_valley_205,aVWAP_valley_161,aVWAP_valley_160,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,18.56,18.72,18.555,18.69,18077.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,18.69,18.72,18.665,18.675,15000.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,18.675,18.73,18.655,18.725,5576.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,18.725,18.73,18.685,18.725,8329.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,18.725,18.73,18.705,18.705,2769.0,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,18.705,18.705,18.66,18.67,13659.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,18.665,18.685,18.63,18.64,7806.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,18.64,18.645,18.58,18.58,9760.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,18.585,18.595,18.55,18.57,4796.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,18.575,18.6,18.555,18.575,14497.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,18.575,18.605,18.575,18.585,11185.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,18.585,18.585,18.565,18.575,9453.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,18.575,18.585,18.555,18.56,1124.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,18.565,18.565,18.535,18.535,23322.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,18.54,18.54,18.485,18.495,3202.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,18.495,18.535,18.495,18.535,5621.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,18.535,18.545,18.505,18.515,10837.0,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,18.515,18.525,18.49,18.505,1267.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,18.505,18.575,18.505,18.575,6884.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,18.575,18.58,18.535,18.545,10134.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,18.545,18.545,18.485,18.495,2981.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,18.495,18.5,18.46,18.47,17025.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,18.465,18.485,18.465,18.485,11529.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,18.485,18.505,18.485,18.5,560.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,18.505,18.52,18.495,18.505,1084.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,18.505,18.53,18.495,18.53,536.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,18.525,18.535,18.515,18.525,864.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,18.525,18.53,18.505,18.505,1520.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,18.505,18.515,18.495,18.495,2469.0,,,,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,18.495,18.5,18.49,18.495,497.0,,,,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,18.495,18.5,18.485,18.495,7977.0,,,,,,,,,,,,,,,,#000000
