date,Close,High,Low,Open,Volume,aVWAP_OB_bull_173,aVWAP_OB_bull_28,aVWAP_OB_bear_103,aVWAP_OB_bear_59,aVWAP_OB_bear_33,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,40.93,41.62,40.07,40.07,4930538,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4930538.0,False,False,False,False
2022-01-07 00:00:00+00:00,43.29,44.59,40.85,40.85,5302874,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,5302874,392805.48148148146,False,False,False,False,4958118.444444444,False,False,False,False
2022-01-14 00:00:00+00:00,45.14,45.32,42.51,43.07,5207198,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,10510072,1142232.6310013717,False,False,False,False,4976568.781893004,False,False,False,False
2022-01-21 00:00:00+00:00,44.36,45.8,44.18,44.73,6825097,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,96.20090399002494,46.37898661549252,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,3684975,1330583.9175938629,False,False,False,False,5113496.798049077,False,False,False,False
2022-01-28 00:00:00+00:00,43.66,44.79,42.7,44.0,5520094,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,90.64513416214825,41.217205467398244,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-1835119,1096087.4051795027,False,False,False,False,5143615.109304701,False,False,False,False
2022-02-04 00:00:00+00:00,39.89,43.83,39.16,43.53,7979969,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,79.2209345409252,30.621224172233894,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-9815088,287852.1899810211,False,False,False,False,5353715.397504352,False,False,False,False
2022-02-11 00:00:00+00:00,43.15,43.18,39.65,40.12,6637532,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,74.30195351536783,26.54504551264901,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-3177556,31155.287019463984,False,False,False,False,5448812.923615141,False,False,False,False
2022-02-18 00:00:00+00:00,43.26,44.18,41.62,43.13,4688880,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,70.57629098503118,23.60424566241207,False,False,True,False,False,,,,1,,,False,False,False,False,,,False,False,False,False,1511324,140797.4139069111,False,False,False,False,5392521.5959399445,False,False,False,False
2022-02-25 00:00:00+00:00,36.63,42.95,32.6,42.95,10182169,,,,,,0.0,0.0,0.0,0.0,37.39333333333334,#000000,,37.39333333333334,,62.5096849214024,16.469360455633165,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-8670845,-511916.8389750823,False,False,False,False,5747310.292536986,False,False,False,False
2022-03-04 00:00:00+00:00,35.33,37.18,34.3,35.35,6493988,,,,,,0.0,0.0,0.0,0.0,36.69627594055393,#000000,,36.69627594055393,,55.63939050607077,10.572589941823509,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-15164833,-1597318.0360880392,False,False,False,False,5802619.752349061,False,False,False,False
2022-03-11 00:00:00+00:00,33.73,36.27,33.42,35.02,4557330,,,,,,0.0,0.0,0.0,0.0,36.21916716269918,#000000,,36.21916716269918,,49.63890534292675,5.521650516621001,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-19722163,-2939899.144525962,False,False,False,False,5710376.066989872,False,False,False,False
