date,Open,High,Low,Close,Volume,aVWAP_peak_611,aVWAP_peak_589,aVWAP_peak_567,aVWAP_peak_542,aVWAP_peak_501,aVWAP_peak_477,aVWAP_peak_431,aVWAP_peak_405,aVWAP_peak_379,aVWAP_peak_362,aVWAP_peak_361,aVWAP_peak_332,aVWAP_peak_280,aVWAP_peak_231,aVWAP_peak_167,aVWAP_valley_617,aVWAP_valley_594,aVWAP_valley_573,aVWAP_valley_527,aVWAP_valley_526,aVWAP_valley_469,aVWAP_valley_454,aVWAP_valley_448,aVWAP_valley_435,aVWAP_valley_420,aVWAP_valley_371,aVWAP_valley_343,aVWAP_valley_320,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,9.145,9.15,8.915,8.995,206048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,206048.0,False,False,False,False
2023-10-31 16:00:00+00:00,8.715,8.855,8.66,8.75,97431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-97431.0,-1510.5581395348836,False,False,False,False,204364.01550387594,False,False,False,False
2023-11-01 16:00:00+00:00,8.705,8.72,8.53,8.54,183279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-280710.0,-5839.231656751397,False,False,False,False,204037.11603869955,False,False,False,False
2023-11-02 16:00:00+00:00,8.675,8.675,8.56,8.59,86715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-193995.0,-8756.37535199556,False,False,False,False,202218.16850321583,False,False,False,False
2023-11-03 16:00:00+00:00,9.115,9.195,9.06,9.105,158523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-35472.0,-9170.571082972374,False,False,False,False,201540.72403029774,False,False,False,False
2023-11-06 16:00:00+00:00,9.04,9.225,9.035,9.15,48555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,13083.0,-8825.554477034817,False,False,False,False,199168.8523399055,False,False,False,False
2023-11-06 20:00:00+00:00,9.15,9.2,9.115,9.145,70591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-57508.0,-9580.32107429009,False,False,False,False,197175.39726486822,False,False,False,False
2023-11-07 16:00:00+00:00,9.415,9.575,9.365,9.465,54429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3079.0,-9479.525398719701,False,False,False,False,194962.2748266532,False,False,False,False
2023-11-07 20:00:00+00:00,9.465,9.475,9.405,9.435,34356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-37435.0,-9912.943609592265,False,False,False,False,192472.25506189888,False,False,False,False
2023-11-08 16:00:00+00:00,9.485,9.535,9.435,9.475,71761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,34326.0,-9227.068514869903,False,False,False,False,190600.7627353578,False,False,False,False
