date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color
2025-06-30 13:30:00+00:00,61.89,61.905,61.86,61.875,422.0,,#000000
2025-06-30 13:35:00+00:00,61.875,61.88,61.8,61.825,1003.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:40:00+00:00,61.825,61.92,61.825,61.92,1112.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:45:00+00:00,61.92,61.935,61.89,61.93,373.0,,"rgba(239, 83, 80, 0.5)"
2025-06-30 13:50:00+00:00,61.925,61.975,61.905,61.945,4826.0,,#000000
2025-06-30 13:55:00+00:00,61.945,61.96,61.925,61.925,514.0,,"rgba(38, 166, 154, 0.5)"
2025-06-30 14:00:00+00:00,61.93,61.995,61.925,61.985,3082.0,,"rgba(38, 166, 154, 0.5)"
2025-06-30 14:05:00+00:00,61.985,61.995,61.915,61.95,996.0,,"rgba(38, 166, 154, 0.5)"
2025-06-30 14:10:00+00:00,61.945,61.95,61.88,61.885,844.0,,"rgba(38, 166, 154, 0.5)"
2025-06-30 14:15:00+00:00,61.885,61.885,61.82,61.855,1532.0,,#000000
2025-06-30 14:20:00+00:00,61.855,61.93,61.855,61.925,852.0,,#000000
2025-06-30 14:25:00+00:00,61.925,61.935,61.91,61.935,956.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:30:00+00:00,61.93,61.995,61.915,61.995,2165.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:35:00+00:00,61.995,62.015,61.97,61.975,1703.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:40:00+00:00,61.975,62.0,61.95,61.975,3179.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:45:00+00:00,61.975,62.005,61.945,61.95,9121.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:50:00+00:00,61.955,61.98,61.925,61.955,3905.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 14:55:00+00:00,61.955,61.985,61.955,61.975,1700.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:00:00+00:00,61.975,62.025,61.95,61.98,4264.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:05:00+00:00,61.985,61.995,61.965,61.97,912.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:10:00+00:00,61.975,61.975,61.9,61.915,3796.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:15:00+00:00,61.915,62.0,61.91,62.0,9376.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:20:00+00:00,61.995,62.03,61.985,61.99,11294.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:25:00+00:00,61.985,61.985,61.96,61.96,422.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:30:00+00:00,61.965,61.98,61.935,61.965,517.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:35:00+00:00,61.965,61.985,61.965,61.975,300.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:40:00+00:00,61.975,61.985,61.955,61.97,639.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:45:00+00:00,61.965,61.975,61.95,61.955,1670.0,,#000000
2025-06-30 15:50:00+00:00,61.955,62.005,61.955,62.0,1508.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 15:55:00+00:00,62.005,62.015,61.995,62.005,2242.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:00:00+00:00,62.005,62.04,61.995,62.005,3123.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:05:00+00:00,62.005,62.045,62.005,62.035,1401.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:10:00+00:00,62.035,62.075,62.015,62.075,482.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:15:00+00:00,62.07,62.09,62.055,62.055,2947.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:20:00+00:00,62.055,62.075,62.045,62.055,407.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:25:00+00:00,62.055,62.075,62.05,62.06,2608.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:30:00+00:00,62.055,62.09,62.055,62.085,1362.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:35:00+00:00,62.085,62.1,62.07,62.075,1178.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:40:00+00:00,62.075,62.105,62.065,62.095,2521.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:45:00+00:00,62.095,62.115,62.09,62.115,19702.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:50:00+00:00,62.115,62.145,62.115,62.125,1586.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 16:55:00+00:00,62.125,62.145,62.115,62.145,3254.0,,"rgba(38, 166, 154, 1.0)"
2025-06-30 17:00:00+00:00,62.145,62.17,62.125,62.135,4272.0,62.14333333333334,"rgba(38, 166, 154, 1.0)"
2025-06-30 17:05:00+00:00,62.135,62.14,62.115,62.125,3923.0,62.13535489119382,"rgba(38, 166, 154, 1.0)"
