date,Open,High,Low,Close,Volume,aVWAP_OB_bull_816,aVWAP_OB_bull_720,aVWAP_OB_bull_535,aVWAP_OB_bull_303,aVWAP_OB_bear_703,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,78.76,78.76,77.73,77.92,6116.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,6116.0,False,False,False,False
2024-12-05 16:00:00+00:00,77.92,78.35,77.92,78.35,1460.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,1460.0,22.635658914728683,False,False,False,False,6043.813953488372,False,False,False,False
2024-12-05 17:00:00+00:00,78.4,78.47,78.13,78.15,3137.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,90.32967032967059,11.318681318682366,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-1677.0,-3.715281533561683,False,False,False,False,5998.747070488553,False,False,False,False
2024-12-05 18:00:00+00:00,78.15,78.15,77.47,77.62,1807.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,74.03541464122733,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-3484.0,-57.673184145444445,False,False,False,False,5933.758743814312,False,False,False,False
2024-12-05 19:00:00+00:00,77.62,78.3,77.55,78.24,3684.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,69.82696521933929,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,200.0,-53.678251057918175,False,False,False,False,5898.8787632900585,False,False,False,False
2024-12-05 20:00:00+00:00,78.24,78.26,77.965,78.19,8887.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,66.25445511419983,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-8687.0,-187.52820065391944,False,False,False,False,5945.206224324321,False,False,False,False
2024-12-06 15:00:00+00:00,78.7,78.7,78.43,78.59,1771.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,66.47444028800638,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-6916.0,-291.8455928918432,False,False,False,False,5880.489848753401,False,False,False,False
2024-12-06 16:00:00+00:00,78.59,78.6,78.075,78.35,2156.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,64.1333329284902,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-9072.0,-427.97201780824867,False,False,False,False,5822.745820090557,False,False,False,False
2024-12-06 17:00:00+00:00,78.28,78.36,78.17,78.315,1225.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,62.119779468321624,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-10297.0,-580.9802035786633,False,False,False,False,5751.46293915892,False,False,False,False
2024-12-06 18:00:00+00:00,78.315,78.73,78.3,78.69,967.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,63.06732304037753,11.318681318682366,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-9330.0,-716.6239213526375,False,False,False,False,5677.285219171959,False,False,False,False
