date,Open,High,Low,Close,Volume,aVWAP_peak_871,aVWAP_peak_870,aVWAP_peak_857,aVWAP_peak_829,aVWAP_peak_798,aVWAP_peak_772,aVWAP_peak_755,aVWAP_peak_720,aVWAP_peak_680,aVWAP_peak_679,aVWAP_peak_678,aVWAP_peak_632,aVWAP_peak_600,aVWAP_peak_570,aVWAP_peak_569,aVWAP_peak_548,aVWAP_peak_534,aVWAP_peak_510,aVWAP_peak_480,aVWAP_peak_458,aVWAP_peak_457,aVWAP_peak_426,aVWAP_peak_390,aVWAP_peak_372,aVWAP_peak_343,aVWAP_peak_311,aVWAP_peak_288,aVWAP_valley_863,aVWAP_valley_862,aVWAP_valley_861,aVWAP_valley_834,aVWAP_valley_820,aVWAP_valley_807,aVWAP_valley_779,aVWAP_valley_743,aVWAP_valley_731,aVWAP_valley_709,aVWAP_valley_685,aVWAP_valley_661,aVWAP_valley_642,aVWAP_valley_629,aVWAP_valley_614,aVWAP_valley_585,aVWAP_valley_528,aVWAP_valley_502,aVWAP_valley_475,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,23.425,23.475,23.41,23.465,5405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5405.0,False,False,False,False
2024-12-19 16:00:00+00:00,23.46,23.48,23.455,23.465,8680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5455.775193798449,False,False,False,False
2024-12-19 17:00:00+00:00,23.465,23.465,23.425,23.43,18764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-18764.0,-290.91472868217056,False,False,False,False,5662.104260561265,False,False,False,False
2024-12-19 18:00:00+00:00,23.43,23.46,23.425,23.455,15737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3027.0,-333.3346553692687,False,False,False,False,5818.30419450605,False,False,False,False
2024-12-19 19:00:00+00:00,23.455,23.455,23.44,23.44,23166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-26193.0,-734.2596994720707,False,False,False,False,6087.260718622236,False,False,False,False
2024-12-19 20:00:00+00:00,23.445,23.46,23.415,23.46,72959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,46766.0,2.1784354034653006,False,False,False,False,7124.031870271503,False,False,False,False
2024-12-20 15:00:00+00:00,23.555,23.58,23.535,23.575,61506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,108272.0,1680.7803201258923,False,False,False,False,7967.1631591045025,False,False,False,False
2024-12-20 16:00:00+00:00,23.575,23.59,23.555,23.585,50238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,158510.0,4112.241090356499,False,False,False,False,8622.524970591254,False,False,False,False
2024-12-20 17:00:00+00:00,23.585,23.59,23.57,23.57,57162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,101348.0,5619.772236242445,False,False,False,False,9375.074971047203,False,False,False,False
2024-12-20 18:00:00+00:00,23.575,23.59,23.575,23.585,31654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,133002.0,7594.690496145662,False,False,False,False,9720.484661418564,False,False,False,False
2024-12-20 19:00:00+00:00,23.585,23.59,23.57,23.57,16496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,116506.0,9283.237930313946,False,False,False,False,9825.531410853935,False,False,False,False
2024-12-20 20:00:00+00:00,23.575,23.595,23.57,23.59,8100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,124606.0,11071.187729843961,False,False,False,False,9798.778985879455,False,False,False,False
