date,Open,High,Low,Close,Volume,aVWAP_peak_602,aVWAP_peak_542,aVWAP_peak_507,aVWAP_peak_495,aVWAP_peak_469,aVWAP_peak_447,aVWAP_peak_427,aVWAP_peak_401,aVWAP_peak_384,aVWAP_peak_359,aVWAP_peak_326,aVWAP_peak_308,aVWAP_peak_287,aVWAP_peak_269,aVWAP_peak_242,aVWAP_peak_220,aVWAP_peak_203,aVWAP_peak_187,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,20.355,20.565,20.355,20.545,3394.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3394.0,False,False,False,False
2023-10-31 16:00:00+00:00,20.67,20.74,20.55,20.61,4488.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,4488.0,69.5813953488372,False,False,False,False,3410.9612403100773,False,False,False,False
2023-11-01 16:00:00+00:00,20.555,20.555,19.975,20.025,2322.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2166.0,102.08400937443662,False,False,False,False,3394.0781203052697,False,False,False,False
2023-11-02 16:00:00+00:00,20.495,20.495,19.885,19.905,1559.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,607.0,109.91216426785621,False,False,False,False,3365.6272967346454,False,False,False,False
2023-11-03 16:00:00+00:00,21.25,21.57,21.06,21.4,555.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1162.0,126.22360358153286,False,False,False,False,3322.0516797310074,False,False,False,False
2023-11-06 16:00:00+00:00,21.06,21.18,20.715,20.76,445.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,717.0,135.38292755701295,False,False,False,False,3277.446227332077,False,False,False,False
2023-11-06 20:00:00+00:00,20.76,20.85,20.76,20.83,130.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,847.0,146.4157503855864,False,False,False,False,3228.648611404448,False,False,False,False
2023-11-07 16:00:00+00:00,20.27,20.435,20.27,20.33,672.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,175.0,146.85891704627497,False,False,False,False,3189.0106484369367,False,False,False,False
2023-11-07 20:00:00+00:00,20.33,20.385,20.26,20.26,1094.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-919.0,130.3339725959451,False,False,False,False,3156.529863189852,False,False,False,False
2023-11-08 16:00:00+00:00,19.84,19.91,19.72,19.72,902.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1821.0,100.08073271073664,False,False,False,False,3121.575911822568,False,False,False,False
2023-11-08 20:00:00+00:00,19.72,19.82,19.72,19.8,107.0,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1714.0,71.9554500330508,False,False,False,False,3074.838300786559,False,False,False,False
