date,Open,High,Low,Close,Volume,aVWAP_peak_875,aVWAP_peak_857,aVWAP_peak_846,aVWAP_peak_827,aVWAP_peak_812,aVWAP_peak_796,aVWAP_peak_778,aVWAP_peak_774,aVWAP_peak_756,aVWAP_peak_732,aVWAP_peak_710,aVWAP_peak_688,aVWAP_peak_611,aVWAP_peak_575,aVWAP_peak_563,aVWAP_peak_546,aVWAP_valley_877,aVWAP_valley_859,aVWAP_valley_834,aVWAP_valley_816,aVWAP_valley_797,aVWAP_valley_786,aVWAP_valley_765,aVWAP_valley_749,aVWAP_valley_714,aVWAP_valley_696,aVWAP_valley_654,aVWAP_valley_589,aVWAP_valley_565,aVWAP_valley_552,aVWAP_valley_483,aVWAP_valley_414,aVWAP_valley_365,aVWAP_valley_324,aVWAP_valley_307,aVWAP_valley_269,aVWAP_valley_252,aVWAP_valley_228,aVWAP_valley_196,aVWAP_valley_182,aVWAP_valley_149,aVWAP_valley_124,aVWAP_valley_90,aVWAP_valley_61,aVWAP_valley_36,aVWAP_valley_18,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,50.115,50.155,50.04,50.115,24898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,50.115,50.135,50.005,50.07,7604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,50.065,50.125,50.06,50.065,10203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,50.065,50.135,50.055,50.13,1625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,50.135,50.135,50.065,50.1,17095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,50.095,50.095,50.065,50.075,15692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,49.78,49.895,49.76,49.845,6964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,49.845,49.865,49.775,49.815,8696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,49.815,49.97,49.795,49.955,4050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,49.955,50.01,49.935,49.98,3045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,49.975,49.995,49.945,49.945,2820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,49.945,49.97,49.9,49.905,28946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,49.8,49.805,49.72,49.805,45220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,49.805,49.825,49.7,49.74,20017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 17:00:00+00:00,49.735,49.84,49.735,49.765,6321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
