date,Close,High,Low,Open,Volume,aVWAP_OB_bull_146,aVWAP_OB_bull_52,aVWAP_OB_bull_39,aVWAP_OB_bear_158,aVWAP_OB_bear_37,aVWAP_OB_bear_23,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,14.2262040596,14.3204173316,13.359441958,13.557289829,100801,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,100801.0,False,False,False,False
2022-01-07 00:00:00+00:00,14.2262040596,14.7443770552,13.7174523913,14.4052092763,160791,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,105244.7037037037,False,False,False,False
2022-01-14 00:00:00+00:00,14.6218998017,14.8291689999,13.8399296448,14.3769452947,201006,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,201006,14889.333333333332,False,False,False,False,112338.1330589849,False,False,False,False
2022-01-21 00:00:00+00:00,13.4442339027,14.9987528894,13.3783788257,14.8480116543,196280,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,83.08296115884626,-17.66815536461496,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,4726,14136.493827160493,False,False,False,False,118556.04912868972,False,False,False,False
2022-01-28 00:00:00+00:00,13.1710154142,13.9576962347,12.7376343633,13.2558073589,212320,,,,,,,0.0,0.0,0.0,0.0,13.288782004066665,#000000,,13.288782004066665,,69.08110788095955,-17.66815536461496,False,False,False,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-207594,-2287.9871970736167,False,False,False,False,125501.52697100899,False,False,False,False
2022-02-04 00:00:00+00:00,13.802244336,14.0095135342,13.0815128058,13.1710154142,130706,,,,,,,0.0,0.0,0.0,0.0,13.419214502970192,#000000,,13.419214502970192,,63.20969137398625,-17.66815536461496,False,False,False,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-76888,-7813.914071364459,False,False,False,False,125887.043491675,False,False,False,False
2022-02-11 00:00:00+00:00,14.2733106956,14.6124784745,13.5902644742,13.7645590272,193497,,,,,,,0.0,0.0,0.0,0.0,13.685904347249902,#000000,,13.685904347249902,,60.991441418865975,-17.66815536461496,False,False,False,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,116609,1402.5980820699442,False,False,False,False,130895.18841821759,False,False,False,False
2022-02-18 00:00:00+00:00,14.7161130736,15.1871794332,13.7739803544,14.2733106956,267707,,,,,,,0.0,0.0,0.0,0.0,14.267828070186145,#000000,,14.267828070186145,,60.893371411074284,-17.66815536461496,False,False,True,False,True,,,,1,,,False,False,False,False,,,False,False,False,False,384316,29766.55377969439,False,False,False,False,141029.39668353478,False,False,False,False
2022-02-25 00:00:00+00:00,13.8870362807,14.9893315622,13.312335322,14.9893315622,182603,,,,,,,0.0,0.0,0.0,0.0,14.175212073037702,#000000,,14.175212073037702,,57.601166545200385,-17.66815536461496,False,False,False,False,True,,,,1,,,False,False,False,False,,,False,False,False,False,201713,42503.3275737911,False,False,False,False,144108.9228551248,False,False,False,False
2022-03-04 00:00:00+00:00,14.6917652752,14.7154158954,13.8116656632,13.9341429167,207273,,,,,,,0.0,0.0,0.0,0.0,14.218748480670257,#000000,,14.218748480670257,,57.42597922964167,-17.66815536461496,False,False,True,False,True,,,,1,,,False,False,False,False,,,False,False,False,False,408986,69650.19219795472,False,False,False,False,148787.74338437483,False,False,False,False
