date,Close,High,Low,Open,Volume,aVWAP_OB_bear_823,aVWAP_OB_bear_729,aVWAP_OB_bear_646,aVWAP_OB_bear_418,aVWAP_OB_bear_335,aVWAP_OB_bear_206,aVWAP_OB_bear_144,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,143.85,150.5,141.0535,147.35,5609,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,5609.0,False,False,False,False
2022-01-04 00:00:00+00:00,137.9,144.55,133.0,142.8,1988,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1988,-77.96078431372548,False,False,False,False,5467.0,False,False,False,False
2022-01-05 00:00:00+00:00,127.75,137.9,127.75,135.8,3072,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5060,-273.33487120338333,False,False,False,False,5373.078431372549,False,False,False,False
2022-01-06 00:00:00+00:00,130.9,132.3,124.6,127.4,1762,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,6.071249372804829,-44.43468807492891,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3298,-391.94918997972127,False,False,False,False,5231.467512495195,False,False,False,False
2022-01-07 00:00:00+00:00,127.4,132.041,125.825,130.55,887,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.013299855467707,-42.075100097643755,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4185,-540.6962805687518,False,False,False,False,5061.096237495383,False,False,False,False
2022-01-10 00:00:00+00:00,114.8,129.15,114.8,122.85,4818,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,8.894224847554204,-42.075100097643755,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9003,-872.551328389585,False,False,False,False,5051.56305171125,False,False,False,False
2022-01-11 00:00:00+00:00,115.15,117.6,114.1,115.5,503,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.199690792203175,-42.075100097643755,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8500,-1171.6669625703855,False,False,False,False,4873.188030075516,False,False,False,False
2022-01-12 00:00:00+00:00,115.5,116.9,113.75,115.15,927,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.815586452709821,-42.075100097643755,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7573,-1422.6996307048803,False,False,False,False,4718.435558307848,False,False,False,False
2022-01-13 00:00:00+00:00,110.6,115.5,110.2535,115.5,2013,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.58411862474098,-42.075100097643755,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9586,-1742.8290569517478,False,False,False,False,4612.340046217344,False,False,False,False
2022-01-14 00:00:00+00:00,106.4,111.3,105.35,110.25,1723,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.0005503982255,-42.075100097643755,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11309,-2117.97301550266,False,False,False,False,4499.0325934245075,False,False,False,False
