date,Open,High,Low,Close,Volume,aVWAP_peak_834,aVWAP_peak_821,aVWAP_peak_775,aVWAP_peak_746,aVWAP_peak_696,aVWAP_peak_666,aVWAP_valley_854,aVWAP_valley_828,aVWAP_valley_812,aVWAP_valley_792,aVWAP_valley_762,aVWAP_valley_744,aVWAP_valley_716,aVWAP_valley_678,aVWAP_valley_624,aVWAP_valley_582,aVWAP_valley_544,aVWAP_valley_543,aVWAP_valley_493,aVWAP_valley_474,aVWAP_valley_448,aVWAP_valley_383,aVWAP_valley_353,aVWAP_valley_337,aVWAP_valley_307,aVWAP_valley_258,aVWAP_valley_238,aVWAP_valley_210,aVWAP_valley_199,aVWAP_valley_188,aVWAP_valley_149,aVWAP_valley_123,aVWAP_valley_103,aVWAP_valley_83,aVWAP_valley_66,aVWAP_valley_18,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,60.93,60.93,59.4,59.69,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,59.69,60.41,59.1,60.325,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,60.715,60.715,60.15,60.54,427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,60.54,60.54,60.05,60.18,565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,60.2,60.345,59.78,59.78,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,59.78,59.78,58.82,59.045,1533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,57.395,57.685,56.77,57.29,2673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,57.22,58.01,56.98,57.175,1375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,57.075,57.53,56.925,57.4,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,57.4,57.605,57.29,57.36,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
