date,Open,High,Low,Close,Volume,aVWAP_peak_209,aVWAP_peak_208,aVWAP_peak_203,aVWAP_peak_155,aVWAP_peak_133,aVWAP_peak_119,aVWAP_peak_97,aVWAP_peak_63,aVWAP_peak_36,aVWAP_peak_35,aVWAP_valley_222,aVWAP_valley_188,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,30.015,30.055,29.99,29.99,677.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,29.975,29.975,29.875,29.875,701.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,29.88,29.91,29.845,29.91,24.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,29.91,29.91,29.825,29.84,19.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,29.86,29.88,29.81,29.81,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,29.82,29.835,29.765,29.765,204.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,29.75,29.75,29.605,29.68,350.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,29.69,29.7,29.63,29.64,1.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,29.625,29.625,29.595,29.625,6.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,29.585,29.61,29.57,29.57,13.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,29.57,29.59,29.565,29.585,113.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,29.58,29.585,29.52,29.52,146.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,29.49,29.555,29.475,29.525,129.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,29.53,29.56,29.52,29.525,2.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,29.535,29.57,29.525,29.555,113.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,29.54,29.655,29.54,29.655,180.0,,,,,,,,,,,,,,,#000000
