date,Close,High,Low,Open,Volume,aVWAP_peak_149,aVWAP_valley_171,aVWAP_valley_122,aVWAP_valley_96,aVWAP_OB_bull_122,aVWAP_OB_bull_96,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,147.2723645149,148.144208987,140.4624136793,142.6398186264,154977,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,154977.0,False,False,False,False
2022-01-07 00:00:00+00:00,140.6344577389,147.4506963387,139.6041951633,145.6227951444,269705,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-269705,-19978.148148148146,False,False,False,False,163475.37037037036,False,False,False,False
2022-01-14 00:00:00+00:00,137.4542068806,144.2258625244,134.3632210074,139.7427986198,241911,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-511616,-56395.766803840874,False,False,False,False,169285.4170096022,False,False,False,False
2022-01-21 00:00:00+00:00,136.3049573492,141.5162095345,135.7105179364,137.7443923872,245411,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-757027,-108294.37667022302,False,False,False,False,174924.349082965,False,False,False,False
2022-01-28 00:00:00+00:00,138.930398089,142.8933275075,133.580443374,134.9476540234,487048,,,,,,,,,#000000,,138.4680563235,,6.322019554427319,-44.023715889955426,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-269979,-120271.01543539167,False,False,False,False,198044.6195212639,False,False,False,False
2022-02-04 00:00:00+00:00,147.7082867509,149.7392880779,139.1186372363,139.1186372363,577715,,,,,,,,,#000000,,142.29539621866817,,20.675611589905138,-30.714387502204858,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,307736,-88566.79206980711,False,False,False,False,226168.3514085777,False,False,False,False
2022-02-11 00:00:00+00:00,148.8476289587,156.9518196196,147.3763914121,147.5893988684,341837,,,,,,,,,#000000,,147.74183907261343,,31.64716147620703,-21.120639869787055,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,649573,-33889.77043500658,False,False,False,False,234736.39945238677,False,False,False,False
2022-02-18 00:00:00+00:00,146.8166276318,155.4558137641,146.5887591902,149.125034018,404090,,,,,,,,,#000000,,147.93199754616586,,37.802537911230786,-16.313518538152515,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,245483,-13195.491143524618,False,False,False,False,247281.11060406183,False,False,False,False
2022-02-25 00:00:00+00:00,138.4350319116,146.2915394838,134.2838633458,145.1819192466,465473,,,,,,,,,#000000,,145.2889692574475,,37.552114673497485,-16.313518538152515,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-219990,-28513.60291067094,False,False,False,False,263443.47278153873,False,False,False,False
2022-03-04 00:00:00+00:00,123.2669195624,137.1024968947,120.0074101156,136.1860694667,675447,,,,,,,,,#000000,,139.80287251415098,,33.44626527274722,-10.55958397922005,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-895437,-92730.15084321382,False,False,False,False,293962.25257549883,False,False,False,False
