date,Open,High,Low,Close,Volume,aVWAP_peak_557,aVWAP_peak_545,aVWAP_peak_509,aVWAP_peak_470,aVWAP_peak_445,aVWAP_peak_427,aVWAP_peak_401,aVWAP_peak_382,aVWAP_peak_367,aVWAP_peak_346,aVWAP_peak_300,aVWAP_peak_272,aVWAP_peak_247,aVWAP_valley_554,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,410.49,414.97,404.86,411.45,166802.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,166802.0,False,False,False,False
2023-10-31 16:00:00+00:00,402.49,408.72,400.41,407.8,245432.0,,,,,,,,,,,,,,,,,#000000,,1.0,408.72,400.41,249.0,,,False,False,False,False,,,False,False,False,False,-245432.0,-3805.147286821705,False,False,False,False,168021.06976744186,False,False,False,False
2023-11-01 16:00:00+00:00,418.89,423.78,414.13,423.15,269999.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24567.0,-3365.2690343128415,False,False,False,False,169602.12294934198,False,False,False,False
2023-11-02 16:00:00+00:00,431.4,438.83,430.655,435.02,286137.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,310704.0,1504.0219584672022,False,False,False,False,171408.86522919714,False,False,False,False
2023-11-03 16:00:00+00:00,446.22,453.04,445.585,450.085,231384.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,542088.0,9885.168904847555,False,False,False,False,172338.71227990725,False,False,False,False
2023-11-06 16:00:00+00:00,456.13,457.5,449.0,456.26,133012.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,675100.0,20198.577138880923,False,False,False,False,171728.99581045134,False,False,False,False
2023-11-06 20:00:00+00:00,456.36,457.67,454.92,457.54,37341.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,712441.0,30931.017803394396,False,False,False,False,169645.46099168464,False,False,False,False
2023-11-07 16:00:00+00:00,461.12,462.14,457.955,460.22,100896.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,813337.0,43061.343108768124,False,False,False,False,168579.57787553448,False,False,False,False
2023-11-07 20:00:00+00:00,460.22,461.35,458.695,459.625,48929.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,764408.0,54245.01220785699,False,False,False,False,166724.53015653393,False,False,False,False
2023-11-08 16:00:00+00:00,462.71,468.64,461.6,465.565,116841.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,881249.0,67066.77946044835,False,False,False,False,165951.14209209156,False,False,False,False
2023-11-08 20:00:00+00:00,465.64,466.5,464.5,465.745,44141.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,925390.0,80374.11621299954,False,False,False,False,164062.61275733044,False,False,False,False
2023-11-09 16:00:00+00:00,477.12,482.28,468.655,469.275,247895.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1173285.0,97318.47100039489,False,False,False,False,165362.33969132532,False,False,False,False
2023-11-09 20:00:00+00:00,469.21,471.0,467.56,469.555,80555.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1253840.0,115249.03734147403,False,False,False,False,164047.49721549082,False,False,False,False
2023-11-10 16:00:00+00:00,478.71,484.72,477.18,483.46,168866.0,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1422706.0,135519.68792532716,False,False,False,False,164122.2026850181,False,False,False,False
