date,Open,High,Low,Close,Volume,aVWAP_peak_423,aVWAP_peak_407,aVWAP_peak_364,aVWAP_peak_334,aVWAP_peak_310,aVWAP_peak_285,aVWAP_peak_270,aVWAP_peak_241,aVWAP_peak_211,aVWAP_peak_177,aVWAP_peak_137,aVWAP_peak_136,aVWAP_peak_122,aVWAP_peak_107,aVWAP_peak_74,aVWAP_peak_45,aVWAP_valley_413,aVWAP_valley_369,aVWAP_valley_346,aVWAP_valley_317,aVWAP_valley_289,aVWAP_valley_249,aVWAP_valley_218,aVWAP_valley_193,aVWAP_valley_166,aVWAP_valley_126,aVWAP_valley_113,aVWAP_valley_53,aVWAP_valley_23,aVWAP_OB_bull_413,aVWAP_OB_bull_369,aVWAP_OB_bull_346,aVWAP_OB_bull_249,aVWAP_OB_bull_218,aVWAP_OB_bear_423,aVWAP_OB_bear_211,aVWAP_OB_bear_137,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,80.715,81.15,80.415,80.51,20229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,20229.0,False,False,False,False
2023-11-10 17:00:00+00:00,78.84,79.11,78.26,79.11,69783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-69783.0,-1081.906976744186,False,False,False,False,20997.279069767443,False,False,False,False
2023-11-13 17:00:00+00:00,80.465,80.5,79.9,80.03,36213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.168377823408607,-71.25256673511291,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33570.0,-1585.5983414458265,False,False,False,False,21233.181719848566,False,False,False,False
2023-11-14 17:00:00+00:00,81.67,81.835,81.31,81.44,38858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.719238242822883,-54.039954575299205,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5288.0,-1479.0309252993795,False,False,False,False,21506.43471644006,False,False,False,False
2023-11-15 17:00:00+00:00,83.27,83.28,82.62,83.215,42798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.56265964273348,-38.566986488799145,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48086.0,-710.5808334342729,False,False,False,False,21836.536503782074,False,False,False,False
2023-11-16 17:00:00+00:00,80.67,81.41,80.375,81.12,98421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.35016996215077,-35.750131476645024,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-50335.0,-1479.9516732259895,False,False,False,False,23023.892526979253,False,False,False,False
2023-11-17 17:00:00+00:00,81.7,81.875,81.21,81.59,39945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.7555980455159,-31.52245354071301,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10390.0,-1618.0919573620206,False,False,False,False,23286.235278498956,False,False,False,False
2023-11-20 17:00:00+00:00,82.19,82.31,81.63,81.74,27365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.750432814760465,-27.229740279300938,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16975.0,-1329.8269657750125,False,False,False,False,23349.47194084781,False,False,False,False
2023-11-21 17:00:00+00:00,82.06,82.12,81.29,81.57,93605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.4393072263268,-23.899904150141573,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-76630.0,-2497.2715089412914,False,False,False,False,24438.70493401296,False,False,False,False
2023-11-22 17:00:00+00:00,81.72,82.53,81.72,81.795,38362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.59440073270734,-20.036536040080808,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38268.0,-3051.856446787163,False,False,False,False,24654.569973795704,False,False,False,False
