date,Close,High,Low,Open,Volume,aVWAP_peak_56,aVWAP_peak_22,aVWAP_valley_52,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,2.65,5.7,2.57,3.3,68147256,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,68147256.0,False,False,False,False
2022-01-07 00:00:00+00:00,2.76,3.0678,2.57,2.66,1967001,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,1967001,145703.77777777778,False,False,False,False,63245014.88888889,False,False,False,False
2022-01-14 00:00:00+00:00,2.86,2.92,2.56,2.69,1183436,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,3150437,368276.6090534979,False,False,False,False,58647860.89711934,False,False,False,False
2022-01-21 00:00:00+00:00,2.41,2.8599,2.3218,2.79,658511,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,2491926,525583.9713458314,False,False,False,False,54352353.49733272,False,False,False,False
2022-01-28 00:00:00+00:00,2.22,2.64,1.72,2.3,2440797,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,51129,490439.1586535476,False,False,False,False,50507053.01604882,False,False,False,False
2022-02-04 00:00:00+00:00,2.61,3.09,2.21,2.21,1525394,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,1576523,570889.8135680996,False,False,False,False,46878781.97782298,False,False,False,False
2022-02-11 00:00:00+00:00,2.42,2.81,2.4,2.67,889121,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,687402,579520.3458963885,False,False,False,False,43472140.42391017,False,False,False,False
2022-02-18 00:00:00+00:00,2.17,2.4726,2.15,2.45,454826,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,232576,553820.7647188782,False,False,False,False,40285672.688805714,False,False,False,False
2022-02-25 00:00:00+00:00,1.96,2.15,1.73,2.11,697415,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-464839,478364.4858508131,False,False,False,False,37353209.15630159,False,False,False,False
2022-03-04 00:00:00+00:00,1.83,2.09,1.79,1.94,285755,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-750594,387330.5239359381,False,False,False,False,34607471.81139036,False,False,False,False
