date,Open,High,Low,Close,Volume,aVWAP_peak_597,aVWAP_peak_568,aVWAP_valley_612,aVWAP_valley_580,aVWAP_valley_556,aVWAP_valley_515,aVWAP_valley_498,aVWAP_valley_473,aVWAP_valley_456,aVWAP_valley_435,aVWAP_valley_420,aVWAP_valley_403,aVWAP_valley_367,aVWAP_valley_335,aVWAP_valley_314,aVWAP_valley_292,aVWAP_valley_256,aVWAP_valley_230,aVWAP_valley_229,aVWAP_valley_215,aVWAP_valley_186,aVWAP_valley_157,aVWAP_valley_139,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,3.635,3.665,3.605,3.625,12442.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,12442.0,False,False,False,False
2023-10-31 16:00:00+00:00,3.565,3.575,3.455,3.505,25368.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-25368.0,-393.30232558139534,False,False,False,False,12642.403100775193,False,False,False,False
2023-11-01 16:00:00+00:00,3.445,3.49,3.405,3.465,10140.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-35508.0,-937.7162430142419,False,False,False,False,12603.606153476352,False,False,False,False
2023-11-02 16:00:00+00:00,3.535,3.585,3.525,3.585,5749.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-29759.0,-1384.5578516496798,False,False,False,False,12497.333189856563,False,False,False,False
2023-11-03 16:00:00+00:00,3.765,3.855,3.76,3.82,13943.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-15816.0,-1608.3011407713902,False,False,False,False,12519.746628773515,False,False,False,False
2023-11-06 16:00:00+00:00,3.775,3.805,3.74,3.77,6058.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-21874.0,-1922.4980223098182,False,False,False,False,12419.564510497956,False,False,False,False
2023-11-06 20:00:00+00:00,3.765,3.775,3.72,3.74,10357.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-32231.0,-2392.397277777883,False,False,False,False,12387.58676614915,False,False,False,False
2023-11-07 16:00:00+00:00,3.605,3.645,3.575,3.615,1785.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-34016.0,-2882.6856920759005,False,False,False,False,12223.205575976295,False,False,False,False
2023-11-07 20:00:00+00:00,3.61,3.64,3.605,3.62,5331.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-28685.0,-3282.7215728189094,False,False,False,False,12116.349675573563,False,False,False,False
2023-11-08 16:00:00+00:00,3.585,3.595,3.555,3.575,4540.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-33225.0,-3746.9429437829576,False,False,False,False,11998.886889905756,False,False,False,False
2023-11-08 20:00:00+00:00,3.57,3.615,3.57,3.59,5518.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-27707.0,-4118.416696592524,False,False,False,False,11898.408023395588,False,False,False,False
