date,Close,High,Low,Open,Volume,aVWAP_peak_856,aVWAP_peak_834,aVWAP_peak_815,aVWAP_peak_782,aVWAP_peak_764,aVWAP_peak_735,aVWAP_peak_703,aVWAP_peak_690,aVWAP_peak_679,aVWAP_peak_591,aVWAP_peak_561,aVWAP_peak_550,aVWAP_peak_505,aVWAP_peak_448,aVWAP_peak_430,aVWAP_peak_418,aVWAP_peak_389,aVWAP_peak_360,aVWAP_peak_337,aVWAP_peak_323,aVWAP_peak_261,aVWAP_peak_226,aVWAP_peak_163,aVWAP_peak_143,aVWAP_peak_108,aVWAP_peak_75,aVWAP_peak_64,aVWAP_peak_43,aVWAP_peak_28,aVWAP_valley_841,aVWAP_valley_817,aVWAP_valley_788,aVWAP_valley_773,aVWAP_valley_746,aVWAP_valley_712,aVWAP_valley_618,aVWAP_valley_574,aVWAP_valley_530,aVWAP_valley_457,aVWAP_valley_440,aVWAP_valley_420,aVWAP_valley_378,aVWAP_valley_353,aVWAP_valley_307,aVWAP_valley_287,aVWAP_valley_242,aVWAP_valley_196,aVWAP_valley_170,aVWAP_valley_148,aVWAP_valley_132,aVWAP_valley_115,aVWAP_valley_88,aVWAP_valley_34,aVWAP_valley_14,aVWAP_OB_bull_841,aVWAP_OB_bull_817,aVWAP_OB_bull_712,aVWAP_OB_bull_618,aVWAP_OB_bull_574,aVWAP_OB_bull_457,aVWAP_OB_bear_163,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,31.0173886458,31.2545850922,30.8829773261,30.9383231636,2993516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,30.8118183922,31.3652767672,30.7841454734,31.3020243815,4043666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,31.1201737725,31.4996880868,30.9699493565,31.0015755493,4792247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-06 00:00:00+00:00,31.6420059547,31.6499125029,31.0332017422,31.1438934172,5823873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-07 00:00:00+00:00,32.0847726547,32.132211944,31.1557532395,31.3889964118,6349982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-10 00:00:00+00:00,32.2112774262,32.2191839744,31.8238565636,32.0768661065,4223816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-11 00:00:00+00:00,32.685670319,32.6935768672,32.1836045074,32.4168476797,3476622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-12 00:00:00+00:00,32.9623995065,32.9702269893,32.6618716089,32.8121750905,4374941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-13 00:00:00+00:00,33.0098387958,33.2707548869,32.9465864101,33.0493715369,4158692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-14 00:00:00+00:00,32.9386798619,33.0335584405,32.6224179333,32.9544929583,4243139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-18 00:00:00+00:00,33.3419138208,33.4023198492,32.9623995065,33.1363435673,7239488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-19 00:00:00+00:00,33.310287628,33.4486522217,32.8834130899,33.420979303,7148184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
2022-01-20 00:00:00+00:00,33.0256518923,33.3933063842,33.017745344,33.2075025012,7449654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,
