date,Open,High,Low,Close,Volume,aVWAP_peak_857,aVWAP_valley_860,aVWAP_valley_834,aVWAP_valley_820,aVWAP_valley_798,aVWAP_valley_739,aVWAP_valley_699,aVWAP_valley_679,aVWAP_valley_665,aVWAP_valley_612,aVWAP_valley_582,aVWAP_valley_565,aVWAP_valley_564,aVWAP_valley_539,aVWAP_valley_473,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,42.17,42.305,41.955,42.07,484.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,484.0,False,False,False,False
2024-12-19 16:00:00+00:00,42.11,42.45,42.04,42.32,819.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,819.0,12.69767441860465,False,False,False,False,489.1937984496124,False,False,False,False
2024-12-19 17:00:00+00:00,42.32,42.515,42.265,42.48,295.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1114.0,29.77212907878132,False,False,False,False,486.18304188450213,False,False,False,False
2024-12-19 18:00:00+00:00,42.48,42.695,42.46,42.64,683.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1797.0,57.17101079849013,False,False,False,False,489.2344675917191,False,False,False,False
2024-12-19 19:00:00+00:00,42.64,42.64,42.385,42.41,427.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1370.0,77.5249486155678,False,False,False,False,488.2695921251808,False,False,False,False
2024-12-19 20:00:00+00:00,42.41,42.64,42.21,42.34,2924.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1554.0,52.22998817191557,False,False,False,False,526.0328542627749,False,False,False,False
2024-12-20 15:00:00+00:00,42.725,43.09,42.725,43.09,185.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1369.0,30.195414711885874,False,False,False,False,520.7455231889335,False,False,False,False
2024-12-20 16:00:00+00:00,43.09,43.09,42.965,43.08,67.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1436.0,7.463702855887643,False,False,False,False,513.7107088759267,False,False,False,False
2024-12-20 17:00:00+00:00,43.08,43.18,42.93,42.935,45.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1481.0,-15.61325377753697,False,False,False,False,506.4438761801759,False,False,False,False
2024-12-20 18:00:00+00:00,42.935,42.935,42.62,42.62,42.0,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1523.0,-38.98359092827283,False,False,False,False,499.24319592932045,False,False,False,False
