date,Open,High,Low,Close,Volume,aVWAP_peak_859,aVWAP_peak_858,aVWAP_peak_839,aVWAP_peak_809,aVWAP_peak_767,aVWAP_peak_747,aVWAP_peak_720,aVWAP_peak_696,aVWAP_peak_689,aVWAP_peak_688,aVWAP_peak_687,aVWAP_peak_643,aVWAP_peak_599,aVWAP_peak_574,aVWAP_peak_556,aVWAP_peak_555,aVWAP_peak_553,aVWAP_peak_531,aVWAP_peak_529,aVWAP_peak_517,aVWAP_peak_516,aVWAP_peak_497,aVWAP_peak_466,aVWAP_peak_420,aVWAP_peak_393,aVWAP_peak_346,aVWAP_peak_330,aVWAP_peak_318,aVWAP_peak_287,aVWAP_peak_260,aVWAP_valley_872,aVWAP_valley_828,aVWAP_valley_817,aVWAP_valley_787,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,4.14,4.365,4.13,4.3,1340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,4.29,4.3,4.25,4.275,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,4.275,4.275,4.19,4.22,758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,4.22,4.26,4.22,4.255,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,4.255,4.265,4.14,4.16,1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,4.16,4.17,4.08,4.135,3146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,4.135,4.255,4.12,4.255,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,4.255,4.27,4.165,4.165,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,4.165,4.21,4.155,4.21,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,4.21,4.21,4.1,4.115,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,4.115,4.135,4.06,4.1,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,4.1,4.11,4.075,4.095,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
