date,Open,High,Low,Close,Volume,aVWAP_peak_432,aVWAP_peak_399,aVWAP_peak_303,aVWAP_peak_257,aVWAP_valley_423,aVWAP_valley_353,aVWAP_valley_335,aVWAP_valley_201,aVWAP_valley_182,aVWAP_valley_158,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-30 17:00:00+00:00,68.07,68.995,68.01,68.98,31016.0,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,31016.0,False,False,False,False
2023-12-01 17:00:00+00:00,69.77,70.47,69.61,70.285,37474.0,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37474.0,580.9922480620155,False,False,False,False,31116.124031007752,False,False,False,False
2023-12-04 17:00:00+00:00,69.39,69.88,68.83,69.52,46511.0,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.75324675324671,3.636363636363498,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9037.0,431.87608917733314,False,False,False,False,31354.804278589025,False,False,False,False
2023-12-05 17:00:00+00:00,67.72,67.855,67.12,67.24,37636.0,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,66.44722760535672,3.636363636363498,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-46673.0,-298.43206724402086,False,False,False,False,31452.187157990746,False,False,False,False
2023-12-06 17:00:00+00:00,67.07,67.33,66.21,66.27,34093.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,51.06082948037087,35.521159629259216,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-80766.0,-1545.9912599999275,False,False,False,False,31493.129992750575,False,False,False,False
2023-12-07 17:00:00+00:00,65.835,66.67,65.76,66.395,36008.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.605350608741915,26.040828521648166,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44758.0,-2215.9448838758976,False,False,False,False,31563.127977359094,False,False,False,False
2023-12-08 17:00:00+00:00,66.6,67.71,66.58,67.24,30808.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,40.11306819957247,23.304449805850865,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13950.0,-2397.8682190096047,False,False,False,False,31551.420566857403,False,False,False,False
2023-12-11 17:00:00+00:00,68.75,68.795,67.87,68.11,20726.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.84467815490182,23.304449805850865,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6776.0,-2255.6377039861995,False,False,False,False,31383.584589076665,False,False,False,False
2023-12-12 17:00:00+00:00,67.12,67.625,67.0,67.165,48064.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.791437416747144,20.79934238465384,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-41288.0,-2860.790607800367,False,False,False,False,31642.195680718887,False,False,False,False
2023-12-13 17:00:00+00:00,66.98,69.55,66.55,69.4,48531.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,47.56318659149523,20.79934238465384,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7243.0,-2704.1426914003614,False,False,False,False,31904.037608149603,False,False,False,False
2023-12-14 17:00:00+00:00,69.915,70.3,68.93,69.515,38567.0,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,69.58166666666666,,51.66044760864001,20.79934238465384,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45810.0,-1951.9854403708982,False,False,False,False,32007.339350658913,False,False,False,False
2023-12-15 17:00:00+00:00,68.73,68.74,67.87,68.46,67566.0,,,,,,,,,,,,,#000000,,68.80181167340349,,51.22258569537969,20.79934238465384,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21756.0,-2259.0244257915047,False,False,False,False,32558.63641498978,False,False,False,False
2023-12-18 17:00:00+00:00,68.09,68.68,68.08,68.565,66189.0,,,,,,,,,,,,,#000000,,68.66347972593942,,51.219913609054394,20.79934238465384,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,44433.0,-1535.1170703528767,False,False,False,False,33080.03740080389,False,False,False,False
2023-12-19 17:00:00+00:00,68.36,68.69,67.255,67.61,65099.0,,,,,,,,,,,,,#000000,,68.44088687043971,,48.628598832609285,16.94642506998146,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20666.0,-1831.7199064714368,False,False,False,False,33576.455425597625,False,False,False,False
