date,Open,High,Low,Close,Volume,aVWAP_peak_852,aVWAP_peak_840,aVWAP_peak_731,aVWAP_peak_695,aVWAP_peak_678,aVWAP_peak_665,aVWAP_peak_641,aVWAP_peak_624,aVWAP_peak_578,aVWAP_peak_552,aVWAP_peak_534,aVWAP_peak_498,aVWAP_peak_479,aVWAP_peak_447,aVWAP_peak_409,aVWAP_peak_341,aVWAP_peak_327,aVWAP_peak_292,aVWAP_peak_260,aVWAP_peak_246,aVWAP_peak_222,aVWAP_peak_210,aVWAP_peak_168,aVWAP_valley_857,aVWAP_valley_794,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-19 15:00:00+00:00,18.895,19.075,18.825,19.06,5398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5398.0,False,False,False,False
2024-12-19 16:00:00+00:00,19.05,19.095,18.865,18.895,5067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5067.0,-78.55813953488372,False,False,False,False,5392.868217054263,False,False,False,False
2024-12-19 17:00:00+00:00,18.9,19.0,18.645,18.98,5782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,715.0,-66.25491256535065,False,False,False,False,5398.901267952647,False,False,False,False
2024-12-19 18:00:00+00:00,18.98,18.98,18.64,18.72,11889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-11174.0,-238.4680146961204,False,False,False,False,5499.522953720823,False,False,False,False
2024-12-19 19:00:00+00:00,18.74,18.81,18.66,18.66,6183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-17357.0,-503.87161136749836,False,False,False,False,5510.119497073988,False,False,False,False
2024-12-19 20:00:00+00:00,18.665,18.815,18.61,18.64,21847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-39204.0,-1103.8736018889326,False,False,False,False,5763.4044661116,False,False,False,False
2024-12-20 15:00:00+00:00,18.53,18.535,18.38,18.455,9904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-49108.0,-1848.123623565073,False,False,False,False,5827.599745706769,False,False,False,False
2024-12-20 16:00:00+00:00,18.44,18.68,18.44,18.575,16454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-32654.0,-2325.7341100214285,False,False,False,False,5992.350137246199,False,False,False,False
2024-12-20 17:00:00+00:00,18.575,18.59,18.46,18.475,15344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-47998.0,-3033.8312556024916,False,False,False,False,6137.336956823777,False,False,False,False
2024-12-20 18:00:00+00:00,18.47,18.53,18.35,18.38,11265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-59263.0,-3905.6013136551665,False,False,False,False,6216.835608655966,False,False,False,False
2024-12-20 19:00:00+00:00,18.38,18.58,18.36,18.575,8939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-50324.0,-4625.26640956749,False,False,False,False,6259.039707746571,False,False,False,False
2024-12-20 20:00:00+00:00,18.575,18.605,18.36,18.475,17568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-67892.0,-5606.146000116831,False,False,False,False,6434.3724254559265,False,False,False,False
2024-12-23 15:00:00+00:00,18.39,18.4,18.34,18.39,1692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-69584.0,-6598.050713293314,False,False,False,False,6360.847271572889,False,False,False,False
2024-12-23 16:00:00+00:00,18.39,18.39,18.39,18.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-69584.0,-7574.577058823651,False,False,False,False,6262.229484416721,False,False,False,False
2024-12-23 17:00:00+00:00,18.39,18.39,18.39,18.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-69584.0,-8535.96346101243,False,False,False,False,6165.140655200958,False,False,False,False
2024-12-23 18:00:00+00:00,18.39,18.39,18.39,18.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-69584.0,-9482.4446476634,False,False,False,False,6069.55707915133,False,False,False,False
2024-12-23 19:00:00+00:00,18.39,18.39,18.39,18.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-69584.0,-10414.251707389549,False,False,False,False,5975.455419009449,False,False,False,False
2024-12-23 20:00:00+00:00,18.39,18.39,18.39,18.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-69584.0,-11331.612146034671,False,False,False,False,5882.812699334883,False,False,False,False
