date,Close,High,Low,Open,Volume,aVWAP_peak_176,aVWAP_peak_160,aVWAP_peak_152,aVWAP_peak_146,aVWAP_peak_133,aVWAP_peak_125,aVWAP_peak_104,aVWAP_peak_83,aVWAP_peak_76,aVWAP_peak_59,aVWAP_peak_54,aVWAP_peak_45,aVWAP_peak_33,aVWAP_peak_13,aVWAP_valley_170,aVWAP_valley_158,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_93,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_56,aVWAP_valley_50,aVWAP_valley_42,aVWAP_valley_28,aVWAP_valley_10,aVWAP_valley_4,aVWAP_OB_bull_177,aVWAP_OB_bull_136,aVWAP_OB_bull_129,aVWAP_OB_bull_93,aVWAP_OB_bear_160,aVWAP_OB_bear_45,aVWAP_OB_bear_2,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,106.53,107.14,100.43,101.12,409631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,409631.0,False,False,False,False
2022-01-07 00:00:00+00:00,110.46,111.2011,105.74,107.6,454778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,454778,33687.259259259255,False,False,False,False,412975.22222222225,False,False,False,False
2022-01-14 00:00:00+00:00,110.29,115.78,105.43,110.5,571794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5,,,,#000000,,,,98.73445991215672,44.30506960470525,False,False,True,False,True,,,,-1.0,115.78,105.43,0.0,0,,,False,False,False,False,,,False,False,False,False,-117016,22524.054869684493,False,False,False,False,424739.57613168727,False,False,False,False
2022-01-21 00:00:00+00:00,102.45,111.73,97.751,110.53,832129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.63370714277065,,,,#000000,,,,79.0881049894342,34.522696108168134,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-949145,-49451.430676218064,False,False,False,False,454916.570492303,False,False,False,False
2022-01-28 00:00:00+00:00,99.52,107.77,96.0,101.26,907245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.09666666666665,,,,,,,104.46015148314616,101.09666666666665,,101.09666666666665,#000000,,101.09666666666665,,63.208797600504106,20.19647972697807,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1856390,-183298.7321076093,False,False,False,False,488422.38008546573,False,False,False,False
2022-02-04 00:00:00+00:00,105.61,106.21,97.6143,97.89,417534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.74217160401845,,,,,,,104.2588770735683,101.74217160401845,,101.74217160401845,#000000,,101.74217160401845,,58.95535215262406,17.255547346603763,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1438856,-276302.9741737123,False,False,False,False,483171.3889680238,False,False,False,False
2022-02-11 00:00:00+00:00,105.94,109.42,104.335,105.25,451366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.96778142854325,,,,,,,104.58619884178577,102.96778142854325,,102.96778142854325,#000000,,102.96778142854325,,56.190101784544986,15.516723875432163,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-987490,-328983.4946052892,False,False,False,False,480815.4342296517,False,False,False,False
2022-02-18 00:00:00+00:00,101.79,107.355,100.5,106.53,387658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.01207208576749,,,,,,,104.43720864449793,103.01207208576749,,103.01207208576749,#000000,,103.01207208576749,,51.407588762085595,11.635884156663195,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1375148,-406477.1616715641,False,False,False,False,473914.8835459738,False,False,False,False
2022-02-25 00:00:00+00:00,101.91,103.15,93.91,101.52,308909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.59289066366536,,,,,,,104.05627197085445,102.59289066366536,,102.59289066366536,#000000,,102.59289066366536,,48.097720770288106,9.03755107826484,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1066239,-455348.4089551519,False,False,False,False,461692.2255055313,False,False,False,False
2022-03-04 00:00:00+00:00,95.33,102.86,93.6232,99.58,430434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.80385215498404,,,,,,,103.3781813575156,101.80385215498404,,101.80385215498404,#000000,,101.80385215498404,,42.71738989526457,4.325291117478223,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1496673,-532483.5638473629,False,False,False,False,459376.8013940105,False,False,False,False
